file,row,state,name,new_type,basis_type,verified_by,basis,rule,queue_code,old_type,old_conf,new_conf,old_flow,new_flow,old_dth,new_dth,old_attr,new_attr,amount,flow_settled_held,flow_note,type_changed,flow_changed,bucket_before,bucket_after
ak_year1_awardees.csv,63,AK,Bristol Bay Native Association,NONPROFIT_CBO,GENERAL_KNOWLEDGE,"Claude, run by IN","Bristol Bay Native Association, regional tribal nonprofit consortium; already typed NONPROFIT_CBO elsewhere in the AK file. https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx",VERIFICATION_ANSWER,AK_RECIPIENT_FORM_NOT_STATED,NONPROFIT_CBO,LOW,LOW,NON_HOSPITAL,NON_HOSPITAL,No,No,,,292246.28,FALSE,flow unchanged: the re-type does not cross §10.2's DIRECT test,FALSE,FALSE,NOT_HOSPITAL,NOT_HOSPITAL
ak_year1_awardees.csv,66,AK,Compass Therapy,OTHER,GENERAL_KNOWLEDGE,"Claude, run by IN",Private therapy clinic; Alaska's organization type is Clinic; Home-and-community-based services provider; Specialist. Not one of the nine categories. https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,VERIFICATION_ANSWER,AK_RECIPIENT_FORM_NOT_STATED,NONPROFIT_CBO,LOW,LOW,NON_HOSPITAL,NON_HOSPITAL,No,No,,,60047,FALSE,flow unchanged: the re-type does not cross §10.2's DIRECT test,TRUE,FALSE,NOT_HOSPITAL,NOT_HOSPITAL
ak_year1_awardees.csv,81,AK,Set Free Alaska Inc,NONPROFIT_CBO,GENERAL_KNOWLEDGE,"Claude, run by IN","Set Free Alaska, faith-based nonprofit substance use disorder treatment provider; Alaska's organization type is Behavioral health/SUD treatment. [Org type from general knowledge; URL is the award source.] https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx",VERIFICATION_ANSWER,AK_RECIPIENT_FORM_NOT_STATED,NONPROFIT_CBO,LOW,LOW,NON_HOSPITAL,NON_HOSPITAL,No,No,,,95000,FALSE,flow unchanged: the re-type does not cross §10.2's DIRECT test,FALSE,FALSE,NOT_HOSPITAL,NOT_HOSPITAL
ak_year1_awardees.csv,111,AK,Arete Family Care,PHYSICIAN_PRACTICE,STATE_SOURCE,"Claude, run by IN",Family medicine practice; Alaska's own project organization type is Family medicine or primary care. https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,VERIFICATION_ANSWER,AK_RECIPIENT_FORM_NOT_STATED,NONPROFIT_CBO,LOW,MEDIUM,NON_HOSPITAL,NON_HOSPITAL,No,No,,,62625,FALSE,flow unchanged: the re-type does not cross §10.2's DIRECT test,TRUE,FALSE,NOT_HOSPITAL,NOT_HOSPITAL
ak_year1_awardees.csv,161,AK,Optical Aleutians,OTHER,GENERAL_KNOWLEDGE,"Claude, run by IN",Optical/eye care provider; Alaska's organization type is Other health care provider; Specialist. Not one of the nine categories. https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,VERIFICATION_ANSWER,AK_RECIPIENT_FORM_NOT_STATED,NONPROFIT_CBO,LOW,LOW,NON_HOSPITAL,NON_HOSPITAL,No,No,,,64787.11,FALSE,flow unchanged: the re-type does not cross §10.2's DIRECT test,TRUE,FALSE,NOT_HOSPITAL,NOT_HOSPITAL
ak_year1_awardees.csv,203,AK,Railbelt Mental Health & Addictions,NONPROFIT_CBO,GENERAL_KNOWLEDGE,"Claude, run by IN",Behavioral health and addiction treatment provider; already typed NONPROFIT_CBO elsewhere in the AK file. https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,VERIFICATION_ANSWER,AK_RECIPIENT_FORM_NOT_STATED,NONPROFIT_CBO,LOW,LOW,NON_HOSPITAL,NON_HOSPITAL,No,No,,,51992.33,FALSE,flow unchanged: the re-type does not cross §10.2's DIRECT test,FALSE,FALSE,NOT_HOSPITAL,NOT_HOSPITAL
ak_year1_awardees.csv,208,AK,Whale Tail Pharmacy,OTHER,STATE_SOURCE,"Claude, run by IN",Retail pharmacy; Alaska's own project organization type is Pharmacy. Not one of the nine categories. https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,VERIFICATION_ANSWER,AK_RECIPIENT_FORM_NOT_STATED,NONPROFIT_CBO,LOW,MEDIUM,IN_KIND_BENEFIT,IN_KIND_BENEFIT,No,No,,,341274,FALSE,flow unchanged: the re-type does not cross §10.2's DIRECT test,TRUE,FALSE,NOT_HOSPITAL,NOT_HOSPITAL
ak_year1_awardees.csv,209,AK,White's Incorporated,OTHER,STATE_SOURCE,"Claude, run by IN",Pharmacy business; Alaska's own project organization type is Pharmacy. Not one of the nine categories. https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,VERIFICATION_ANSWER,AK_RECIPIENT_FORM_NOT_STATED,NONPROFIT_CBO,LOW,MEDIUM,NON_HOSPITAL,NON_HOSPITAL,No,No,,,18980,FALSE,flow unchanged: the re-type does not cross §10.2's DIRECT test,TRUE,FALSE,NOT_HOSPITAL,NOT_HOSPITAL
ak_year1_awardees.csv,243,AK,Medical Park Family Care,PHYSICIAN_PRACTICE,STATE_SOURCE,"Claude, run by IN",Family medicine practice; Alaska's own project organization type is Family medicine or primary care. https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,VERIFICATION_ANSWER,AK_RECIPIENT_FORM_NOT_STATED,NONPROFIT_CBO,LOW,MEDIUM,NON_HOSPITAL,NON_HOSPITAL,No,No,,,225436.6,FALSE,flow unchanged: the re-type does not cross §10.2's DIRECT test,TRUE,FALSE,NOT_HOSPITAL,NOT_HOSPITAL
al_year1_awardees.csv,13,AL,Ivy Creek Healthcare LLC,HOSPITAL_OR_SYSTEM,ORG_WEBSITE,"Claude, run by IN","Ivy Creek Healthcare, Alabama health system operating two hospitals (incl. Elmore Community Hospital) and clinics; this award upgrades its EHR and cybersecurity. https://elmoreautauganews.com/?p=63049",VERIFICATION_ANSWER,AL_RECIPIENT_FORM_NOT_STATED,NONPROFIT_CBO,LOW,MEDIUM,NON_HOSPITAL,DIRECT,No,Yes,,,530600,FALSE,flow re-run: §10.2 re-applied because the re-type crosses the DIRECT test,TRUE,TRUE,NOT_HOSPITAL,NAMED_HOSPITAL
