state,channel,stage,publishes_roster,award_date_published,note
KY,Community Health Worker Specialized Certificate,CLOSED_AWARD_DATE_PASSED,No,2026-08-26,"Applications closed 2026-08-05. The RFA's own timeline gives 'August 26, 2026 Anticipated Notification of Award to Recipients'. Maximum award $800,000; funding period begins 2026-10-07. No roster."
KY,Rapid Response to Recovery: CMHC Support,CLOSED_AWARD_DATE_PASSED,No,2026-07-10,"Applications closed 2026-07-03. The RFA's own timeline gives 'July 10, 2026: Notification of Award to Grantees'. Funding period begins 2026-10-01. No roster."
KY,Rapid Response to Recovery: Telebehavioral Health Support,CLOSED_UNAWARDED,No,NA,"Applications closed 2026-07-06. No roster, no published award date."
KY,Crisis to Care: Community Paramedicine,CLOSED_UNAWARDED,No,NA,'Applications currently closed'. No roster.
KY,Crisis to Care: EMS Training Equipment / Mobile Training Units,CLOSED_UNAWARDED,No,NA,'Applications currently closed'. No roster.
KY,Crisis to Care: EMS Transformation,CLOSED_UNAWARDED,No,NA,'Applications currently closed'. No roster.
KY,Rooted in Health: Definitive Mobile Dental Services,OPEN_ROLLING,No,NA,Closed 2026-06-12 but 'remains open to applications during this budget period until funds are exhausted'. No roster.
KY,Rooted in Health: Rural Dental Access Program,CLOSED_UNAWARDED,No,NA,"Closed 2026-04-12; 'Applications will be considered on a rolling basis, but Year 1 funding is not guaranteed.' No roster."
KY,Rooted in Health: Accredited Dental Hygiene Programs,CLOSED_UNAWARDED,No,NA,Closed 2026-08-01 per the CHFS channel. No roster.
KY,Rural Community Hubs for Chronic Care Innovation,CLOSED_UNAWARDED,No,NA,"Hub Lead RFA closed 2026-06-01 for the Big Sandy, Lake Cumberland and Purchase ADDs. THE POOL TO WATCH -- see the report."
KY,Foundation for a Healthy Kentucky (designated pass-through),NO_ROSTER,No,NA,"FHKY is 'a primary partner' for the Rural Community Hubs initiative and publishes its own RHTP page (§7's route). It describes the Hub Lead ROLE and names NO Hub Lead: 'awarded', 'awardee', 'selected' and 'recipient' are ZERO on it."
