state,candidate_rank,url_host,sample_source_title,example_url,n_activity_references,n_document_urls,last_seen_activity,verification_status,lead_agency,program_page_url,award_posting_url,pass_through_admin,pass_through_admin_url,last_verified,verified_by,verification_note,instruction
AK,1,https://health.alaska.gov,AK - 2026 - Year 1 Funding Announcements,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,5,4,2026-08-22,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
AK,2,https://www.alaskahha.org,AK - 2025 - About Ahha Advocacy Collaboration & Training Resources Healthcare Careers,https://www.alaskahha.org/rhtp,2,1,2026-08-25,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
AK,3,https://www.grantinterface.com,NA,https://www.grantinterface.com/Opportunity/Catalog?urlkey=alaska,2,1,2026-08-25,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
AK,4,https://aws.state.ak.us,NA,https://aws.state.ak.us/OnlinePublicNotices/Notices/View.aspx?id=222690,1,0,2026-08-21,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
AL,1,https://governor.alabama.gov,AL - 2025 - The Office of Alabama Governor Kay Ivey,https://governor.alabama.gov/newsroom/category/press-releases,4,2,2026-08-26,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
AL,2,https://alabamarhtp.com,AL - 2026 - resources,https://alabamarhtp.com/resources,3,1,2026-08-25,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
AL,3,https://adeca.alabama.gov,2026 Delta Workforce Grant Program,https://adeca.alabama.gov/alruralhealth,2,0,2026-07-09,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
AR,1,https://governor.arkansas.gov,AR - 2025 - Sanders Announces Arkansas’ Application for Rural Health Funding,https://governor.arkansas.gov/news_post/arkansas-awarded-209-million-for-fy26-through-president-trumps-rural-health-transformation-program,6,4,2026-08-27,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
AR,2,https://humanservices.arkansas.gov,NA,https://humanservices.arkansas.gov/divisions-shared-services/shared-services/office-of-procurement/procurement-announcements,3,2,2026-08-26,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
AR,3,https://arkansasrhtp.com,"Healthy Eating, Active Recreation, and Transformation (HEART)",https://arkansasrhtp.com,1,0,2026-06-23,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
AZ,1,https://crh.arizona.edu,AHCCCS Opioid Antagonist Distribution Initiative RFGA,https://crh.arizona.edu/arizona-rural-health-transformation-program-toolkit,9,5,2026-08-19,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
AZ,2,https://www.azahcccs.gov,AZ - 2026 - State of Arizona Visit OpenBooks Ombudsman Citizens Aide Register to Vote Save with AZRx (GrantsAdministration),https://www.azahcccs.gov/shared/News/GeneralNews/RHTP_Launch.html,7,2,2026-08-26,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
AZ,3,https://gn.ecivis.com,AZ - 2026 - Euna Grants - Grants Network,https://gn.ecivis.com/GO/gn_redir/T/iyka3c9jbpfk,6,3,2026-08-25,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
AZ,4,https://azgovernor.gov,NA,https://azgovernor.gov/office-arizona-governor/news/2025/11/governor-katie-hobbs-submits-state-application-federal-rural,1,0,2026-04-23,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
CA,1,https://hcai.ca.gov,CA - 2026 - CalRHT Grant Funding Opportunities,https://hcai.ca.gov/facilities/health-facility-financing/distressed-hospital-loan-program,9,7,2026-08-27,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
CA,2,https://calruralhealth.submittable.com,NA,https://calruralhealth.submittable.com/submit,2,1,2026-08-27,UNVERIFIED,NA,NA,NA,NA,NA,NA,NA,NA,"Open example_url. If this host is where notices of award are posted, put that page in award_posting_url and set last_verified. If it is a pass-through administrator, fill pass_through_admin instead (§7.3)."
