slug,url,item_date,item_type,title,topics,is_rural,reduced_sha256,full_page_sha256,full_page_bytes,first_indexed
cms-prevents-1-6-billion-fraudulent-medicare-laboratory-payments,https://www.cms.gov/newsroom/press-releases/cms-prevents-1-6-billion-fraudulent-medicare-laboratory-payments,2026-08-28,Press Releases,CMS Prevents $1.6 Billion in Fraudulent Medicare Laboratory Payments,"Administration; Fraud, waste, & abuse",FALSE,,ca84e423d6c31d76fc279a246ea59938413b3f57df74f0127991a06e263f9c93,56722,2026-08-28
trump-administration-announces-122-million-expand-healthcare-access-workforce-innovation-across,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-122-million-expand-healthcare-access-workforce-innovation-across,2026-08-28,Press Releases,"Trump Administration Announces $122 Million to Expand Healthcare Access, Workforce and Innovation Across Virginia",Rural health,TRUE,1bd074b0f2b967b7b8a3af61f99b017b320f005b4b6c27eb73803c3107bab3c7,e9bd4ae97b62468470fd9db55a98c9cc8add6411834ea370577d785d0f4afc21,62294,2026-08-28
trump-administration-announces-93-3-million-expand-telehealth-services-advance-surgical-robotics,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-93-3-million-expand-telehealth-services-advance-surgical-robotics,2026-08-27,Press Releases,"Trump Administration Announces $93.3 Million to Expand Telehealth Services, Advance Surgical Robotics and Transform Rural Healthcare Access Across Georgia",Rural health,TRUE,fb2deed1c9816cb7b85df9e4c28aef8340a510ba25417a3307b0da9cd04f396d,42c9cd6365f5a05116e7911be4c149b3beaf1e9b6aaf74bed9f990f8407504f8,65554,2026-08-28
trump-administration-announces-3-15-million-expand-pharmacy-connectivity-throughout-rural-ohio,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-3-15-million-expand-pharmacy-connectivity-throughout-rural-ohio,2026-08-26,Press Releases,Trump Administration Announces $3.15 Million to Expand Pharmacy Connectivity Throughout Rural Ohio Communities,Rural health,TRUE,c57f3569df1f00aaa4b104cfe42d2cd7c2de2af4cdf77fe80457da4c3e8e8a45,9817ac5abe32e83976f70b048dc8883dca697b247c279c11e1227087a667972b,66072,2026-08-28
trump-administration-announces-160-million-bring-cutting-edge-technology-drones-prescription,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-160-million-bring-cutting-edge-technology-drones-prescription,2026-08-25,Press Releases,"Trump Administration Announces $160 Million to Bring Cutting-Edge Technology, Drones Prescription Deliveries, Surgical Robotics and More to Alaska",Rural health,TRUE,ac62e699cb222357ed571a3588b01c991363564076d6c1cfa0459d517ace1967,3767101c623f1df7e9e21c095f6ebf7228ca450bfff7a918289e2be3e7b2f762,64356,2026-08-28
trump-administration-announces-144-million-improve-mental-health-substance-abuse-emergency-maternal,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-144-million-improve-mental-health-substance-abuse-emergency-maternal,2026-08-24,Press Releases,"Trump Administration Announces $144 million to Improve Mental Health, Substance Abuse, Emergency and Maternal Care and Expand the Healthcare Workforce in Alabama",Rural health,TRUE,f73efa50473ef2bd3dab5c9c9d4fc8d264d448ad7b454a1268abb71549a00f11,93354d9fee216d88a4ae61170051895e16d22e3b758a467f5be9b783022d9bcf,65095,2026-08-28
trump-administration-announces-4-2-million-expand-medical-transportation-improve-patient-access-care,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-4-2-million-expand-medical-transportation-improve-patient-access-care,2026-08-20,Press Releases,Trump Administration Announces $4.2 Million to Expand Medical Transportation and Improve Patient Access to Care Across West Virginia,Administration; Rural health,TRUE,034e180f5cfe97823454d335b77a36896d6d6fb02b4a985661e992b83e81dc83,4387f63801795e4293514a78577403448ecfd3bd926fa39e2a10e6bf98584f70,60371,2026-08-28
trump-administration-delivers-critical-funding-launch-coordinating-connecting-care-initiative-north,https://www.cms.gov/newsroom/press-releases/trump-administration-delivers-critical-funding-launch-coordinating-connecting-care-initiative-north,2026-08-20,Press Releases,Trump Administration Delivers Critical Funding to Launch the Coordinating and Connecting Care Initiative in North Dakota,Administration; Rural health,TRUE,5f06419d949362009d3b303f4ef06f498589c99c7c802c8550415ac4dee5ca6b,2748c4354a81fddb8e6b34bc2e1abef925b4d609106262d4a4b9297075524883,58958,2026-08-28
trump-administration-announces-35-million-investment-advance-screening-technology-secure-additional,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-35-million-investment-advance-screening-technology-secure-additional,2026-08-19,Press Releases,"Trump Administration Announces $35 million Investment to Advance Screening Technology, Secure Additional Operating Rooms, and Modernize Rural Pennsylvania Healthcare",Administration; Rural health,TRUE,bc62367b397eb98c6c43ee3615747c55735f8116808655b76607c18ff6c94a3d,801fce49859ef03695669dc1dab08a2da8d2e9da2d1bcac2c74f5d526f1750eb,61506,2026-08-28
trump-administration-announces-90-million-modernize-improve-it-interoperability-south-dakota,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-90-million-modernize-improve-it-interoperability-south-dakota,2026-08-19,Press Releases,Trump Administration Announces $90 million to Modernize and Improve IT and Interoperability for South Dakota,Rural health,TRUE,c36c581def041d5e5e7332d21ae488754cc84d081cfd2b7fc1025418c53d5c66,3d3a683c696742154b0cc3fd9e82420ca722a3313c22c0bea3d23c9b835a3ce9,60542,2026-08-28
cms-ends-federal-medicaid-chip-funding-sex-rejecting-procedures-children-youth,https://www.cms.gov/newsroom/press-releases/cms-ends-federal-medicaid-chip-funding-sex-rejecting-procedures-children-youth,2026-08-11,Press Releases,CMS Ends Federal Medicaid and CHIP Funding for Sex-Rejecting Procedures for Children and Youth,Medicaid & CHIP,FALSE,,58a90559847c02c29ed72d815f833c1b853a22fab9574068b3a3d45197f64bc6,54904,2026-08-28
cms-announces-resources-flexibilities-assist-public-health-emergency-state-washington,https://www.cms.gov/newsroom/news-alert/cms-announces-resources-flexibilities-assist-public-health-emergency-state-washington,2026-08-10,News Alert,"CMS Announces Resources, Flexibilities to Assist with Public Health Emergency in the State of Washington",Emergency Preparedness,FALSE,,01c3e9795041f5b2cd96bb30826a842d8c3e61eb7d2b5dfa27eaea0182fa93d3,55504,2026-08-28
regulatory-alignment-predictable-immediate-device-coverage-pathway-cms-3487-nc-procedural-notice,https://www.cms.gov/newsroom/fact-sheets/regulatory-alignment-predictable-immediate-device-coverage-pathway-cms-3487-nc-procedural-notice,2026-08-07,Fact Sheets,Regulatory Alignment for Predictable and Immediate Device Coverage Pathway (CMS-3487-NC) Procedural Notice Inviting Comment,Administration,FALSE,,4e56cdfb602a9f7a22c9bf79fc57fa7689827d49bd7d8d064c989ce2ec610d7d,57741,2026-08-28
cms-launches-new-state-toolkit-protect-children-autism-strengthen-oversight-applied-behavior,https://www.cms.gov/newsroom/press-releases/cms-launches-new-state-toolkit-protect-children-autism-strengthen-oversight-applied-behavior,2026-08-04,Press Releases,"CMS Launches New State Toolkit to Protect Children with Autism, Strengthen Oversight of Applied Behavior Analysis Services",Medicaid & CHIP,FALSE,,5677e80be0e1f5e7dfc2e128b00c0c3a61912f2e3fe739561b9c6e8a7d754b71,57932,2026-08-28
readout-cms-celebrates-delivery-health-technology-ecosystem-one-year-after-launch,https://www.cms.gov/newsroom/press-releases/readout-cms-celebrates-delivery-health-technology-ecosystem-one-year-after-launch,2026-08-03,Press Releases,"Readout: CMS Celebrates Delivery of the Health Technology Ecosystem, One Year After Launch",Data; eHealth; Initiatives,FALSE,,5be57a839e40bcd18990a02f7bf1a9485ec2dc67b6d1ce81593dd9fe533bb056,56331,2026-08-28
cms-news-cms-announces-nationwide-expansion-proven-joint-replacement-program,https://www.cms.gov/newsroom/press-releases/cms-news-cms-announces-nationwide-expansion-proven-joint-replacement-program,2026-07-31,Press Releases,CMS News: CMS Announces Nationwide Expansion of Proven Joint Replacement Program,Hospitals; Innovation models; Payment Rules; Policy,FALSE,,54707e13a0a2f4b697aee6ad20773fbe5b1b137767238ff98d5b3d174bc1a596,56407,2026-08-28
fy-2027-hospital-inpatient-prospective-payment-system-long-term-care-hospital-prospective-payment,https://www.cms.gov/newsroom/fact-sheets/fy-2027-hospital-inpatient-prospective-payment-system-long-term-care-hospital-prospective-payment,2026-07-31,Fact Sheets,FY 2027 Hospital Inpatient Prospective Payment System and Long-Term Care Hospital Prospective Payment System Final Rule (CMS-1849-F),Hospitals; Innovation models; Policy; Quality,FALSE,,ec4d5581e6f23a2385c974aaf942c7a5cd23cefd5c8a7c17c36b4fe8269e3d38,69960,2026-08-28
fiscal-year-2027-hospice-wage-index-payment-rate-update-hospice-quality-reporting-program,https://www.cms.gov/newsroom/fact-sheets/fiscal-year-2027-hospice-wage-index-payment-rate-update-hospice-quality-reporting-program,2026-07-30,Fact Sheets,Fiscal Year 2027 Hospice Wage Index and Payment Rate Update and Hospice Quality Reporting Program Requirements Final Rule (CMS-1851-F),Coverage; Hospices; Policy,FALSE,,97dcbb0742112ab82116e0f69d7fbf9bb022b4963ac2da49aaba66ae25588650,61408,2026-08-28
fy-2027-inpatient-rehabilitation-facilities-irf-prospective-payment-system-pps-final-rule-cms-1845-f,https://www.cms.gov/newsroom/fact-sheets/fy-2027-inpatient-rehabilitation-facilities-irf-prospective-payment-system-pps-final-rule-cms-1845-f,2026-07-30,Fact Sheets,FY 2027 Inpatient Rehabilitation Facilities (IRF) Prospective Payment System (PPS) Final Rule (CMS-1845-F),Administration; Payment Rules,FALSE,,9830e84f9cca325d449b87456ae84785070cb68528347251c4af3d196abd6faa,57890,2026-08-28
fiscal-year-2027-medicare-inpatient-psychiatric-facility-prospective-payment-system-final-rule-cms,https://www.cms.gov/newsroom/fact-sheets/fiscal-year-2027-medicare-inpatient-psychiatric-facility-prospective-payment-system-final-rule-cms,2026-07-29,Fact Sheets,Fiscal Year 2027 Medicare Inpatient Psychiatric Facility Prospective Payment System Final Rule (CMS-1847-F),Administration; Payment Rules,FALSE,,368c25a8e8c145beab1c77572529b8342f8404645784976d9a0946a28302afe4,57930,2026-08-28
fiscal-year-2027-skilled-nursing-facility-prospective-payment-system-final-rule-cms-1843-f,https://www.cms.gov/newsroom/fact-sheets/fiscal-year-2027-skilled-nursing-facility-prospective-payment-system-final-rule-cms-1843-f,2026-07-29,Fact Sheets,Fiscal Year 2027 Skilled Nursing Facility Prospective Payment System Final Rule (CMS 1843-F),Administration; Nursing facilities; Payment Rules,FALSE,,5a2e366d7ee4abe527fa5ee84aa7454df8f8752281d476b02e53736b95bf82ca,55138,2026-08-28
cms-medicaid-fraud-war-room-stops-more-203-million-improper-payments-during-first-88-days,https://www.cms.gov/newsroom/press-releases/cms-medicaid-fraud-war-room-stops-more-203-million-improper-payments-during-first-88-days,2026-07-28,Press Releases,CMS Medicaid Fraud War Room Stops More Than $203 Million in Improper Payments During First 88 Days,"Administration; Fraud, waste, & abuse",FALSE,,80f347fbecd51d0da72159168b27433dc3c68a5c3af310e3580261a5cb7bffd7,55395,2026-08-28
medicare-part-d-2027-national-average-monthly-bid-amount-information,https://www.cms.gov/newsroom/fact-sheets/medicare-part-d-2027-national-average-monthly-bid-amount-information,2026-07-28,Fact Sheets,Medicare Part D 2027 National Average Monthly Bid Amount Information,Administration; Medicare Part D,FALSE,,7159a8a367f6076180105014ab7a6409f86110aa9e447150cecdbcaaf343981b,53061,2026-08-28
amending-indirect-hold-harmless-threshold-health-care-related-taxes-proposed-rule-cms-2452-p,https://www.cms.gov/newsroom/fact-sheets/amending-indirect-hold-harmless-threshold-health-care-related-taxes-proposed-rule-cms-2452-p,2026-07-21,Fact Sheets,Amending the Indirect Hold Harmless Threshold of Health Care-Related Taxes Proposed Rule (CMS-2452-P),Medicaid & CHIP,FALSE,,75ddfa9cfb42712a4aab9b38c6ad099f600010887c57c3b28be98389abbc7468,56281,2026-08-28
cms-modernizes-nursing-home-oversight-new-risk-based-survey-approach-designed-highlight-high,https://www.cms.gov/newsroom/press-releases/cms-modernizes-nursing-home-oversight-new-risk-based-survey-approach-designed-highlight-high,2026-07-16,Press Releases,"CMS Modernizes Nursing Home Oversight with New Risk-Based Survey Approach Designed to Highlight High Performance, Encourage Improvement",Administration; Nursing facilities,FALSE,,cebffb6af308a27f5a6af04e4a046404186e5b6a837fe7ce0c24f63697a5a8a5,56158,2026-08-28
manufacturer-effectuation-mfp-draft-guidance-2028-medicare-drug-price-negotiation,https://www.cms.gov/newsroom/fact-sheets/manufacturer-effectuation-mfp-draft-guidance-2028-medicare-drug-price-negotiation,2026-07-16,Fact Sheets,Manufacturer Effectuation of MFP Draft Guidance for 2028 Medicare Drug Price Negotiation,Administration,FALSE,,a9b228d54f7ab771ff07fc094f9772f993a71907e76b0ced25f76f9d3c432898,66482,2026-08-28
strengthening-original-medicare,https://www.cms.gov/newsroom/blog/strengthening-original-medicare,2026-07-16,Blog,Strengthening Original Medicare,Administration; Physicians,FALSE,,7e0a688fab418550aac33c65c3af4b1e0b9b99d377acce82a6dfdef1ad414a1a,74782,2026-08-28
calendar-year-cy-2027-medicare-physician-fee-schedule-proposed-rule,https://www.cms.gov/newsroom/fact-sheets/calendar-year-cy-2027-medicare-physician-fee-schedule-proposed-rule,2026-07-14,Fact Sheets,Calendar Year (CY) 2027 Medicare Physician Fee Schedule Proposed Rule,Administration; Payment Rules,FALSE,,08d64027a4792f35c21a5c9976f15fb4bee96d711781d9bdc449c28c5328a011,75474,2026-08-28
calendar-year-cy-2027-medicare-physician-fee-schedule-proposed-rule-cms-1848-p-medicare-shared,https://www.cms.gov/newsroom/fact-sheets/calendar-year-cy-2027-medicare-physician-fee-schedule-proposed-rule-cms-1848-p-medicare-shared,2026-07-14,Fact Sheets,Calendar Year (CY) 2027 Medicare Physician Fee Schedule Proposed Rule (CMS-1848-P) — Medicare Shared Savings Program Proposals,Administration; Payment Rules,FALSE,,7837ca3f88f4e9f3bc7556494e2f53b6f508566b77cc6a72ec7952ce9a85b968,85072,2026-08-28
cms-proposes-transformational-medicare-reforms-expand-accountable-care-modernize-physician-payment,https://www.cms.gov/newsroom/press-releases/cms-proposes-transformational-medicare-reforms-expand-accountable-care-modernize-physician-payment,2026-07-14,Press Releases,"CMS Proposes Transformational Medicare Reforms to Expand Accountable Care, Modernize Physician Payment, and Shift from Sick Care to Healthcare",Administration; Payment Rules,FALSE,,c32b5f549ac5f9d734e9d7cb7c2da146007827564291cf12c38f47428ba98e02,63515,2026-08-28
cms-announces-resources-flexibilities-assist-public-health-emergency-guam-commonwealth-northern-0,https://www.cms.gov/newsroom/news-alert/cms-announces-resources-flexibilities-assist-public-health-emergency-guam-commonwealth-northern-0,2026-07-10,News Alert,"CMS Announces Resources, Flexibilities to Assist with Public Health Emergency in Guam and the Commonwealth of the Northern Mariana Islands",Administration,FALSE,,4f550aaca5f77e7c4ed46b70569f60ca6593d90b4eab1f453ffbdd6a51614cbf,59402,2026-08-28
calendar-year-2027-hospital-outpatient-prospective-payment-system-opps-ambulatory-surgical-center,https://www.cms.gov/newsroom/fact-sheets/calendar-year-2027-hospital-outpatient-prospective-payment-system-opps-ambulatory-surgical-center,2026-07-02,Fact Sheets,Calendar Year 2027 Hospital Outpatient Prospective Payment System (OPPS) and Ambulatory Surgical Center (ASC) Proposed Rule (CMS-1850-P),Ambulatory surgical centers; Coverage; EMTALA; Hospitals; Policy; Quality,FALSE,,253d6012e998116a9d42d3f4f17ccc9b4050a24f034d5d6e95478d58a3195d74,72492,2026-08-28
cms-acts-strengthen-care-quality-cut-drug-costs-slash-out-pocket-expenses-medicare-beneficiaries,https://www.cms.gov/newsroom/press-releases/cms-acts-strengthen-care-quality-cut-drug-costs-slash-out-pocket-expenses-medicare-beneficiaries,2026-07-02,Press Releases,"CMS Acts to Strengthen Care Quality, Cut Drug Costs, and Slash Out-of-Pocket Expenses for Medicare Beneficiaries",Ambulatory surgical centers; Hospitals; Medicare Parts A & B; Quality,FALSE,,284a484f0bcc666ef10502a1f46efc0bdc5562c7bf0dcfccedf1ec4efab4bf60,58105,2026-08-28
