state,component,usd,basis,source,note
AR,allotment (§7.1 anchor),208779396,ALLOTMENT_ANCHOR,data/reference/cms_fy2026_allotments.csv,"cms_fy2026_allotments.csv; every CMS footer on the estate prints $208,779,396.02."
AR,"awarded, round 1 (THRIVE + PACT)",149177618.45,PUBLISHED_TOTAL,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf,"DF&A's THRIVE/PACT list, its own `Total:` row."
AR,"awarded, round 2 (RISE AR + HEART)",54685068.84,PUBLISHED_TOTAL,data/evidence/recheck/2026-09-25/AR/2026-09-24_ar_dfa_year1_rise_heart_award_list.pdf,"DF&A's RISE AR/HEART list, its own `Total:` row."
AR,REMAINDER,4916708.71,ARITHMETIC,,"Allotment less both rounds. The two components below it sum to it, less the $0.02 rounding."
AR,planned administration (budget narrative),4680988,PLAN,data/evidence/AR/2026-05_ar_year1_revised_budget_narrative.pdf,"Year 1 Revised Budget Narrative, 'Total Administrative Costs': personnel $235,000, fringe $67,400, travel $3,000, and BDO GS contracted administration $4,375,588 ('BDO GS has been selected as the vendor for contractual administrative costs'): 'Total $ 4,680,988 2.24%'. A PLAN (§0.3): nothing published says it has been spent."
AR,allocation less award: THRIVE,-63829.2,UNEXPLAINED,data/evidence/AR/2026-05_ar_year1_revised_budget_narrative.pdf,"Narrative allocation $55,650,000.00 less the award $55,713,829.20. A negative figure is an award ABOVE the plan. No source says what any remainder funds; the Governor says the round 'completes the distribution'."
AR,allocation less award: PACT,127018.77,UNEXPLAINED,data/evidence/AR/2026-05_ar_year1_revised_budget_narrative.pdf,"Narrative allocation $93,590,808.02 less the award $93,463,789.25. A negative figure is an award ABOVE the plan. No source says what any remainder funds; the Governor says the round 'completes the distribution'."
AR,allocation less award: RISE AR,86531.26,UNEXPLAINED,data/evidence/AR/2026-05_ar_year1_revised_budget_narrative.pdf,"Narrative allocation $27,300,000.00 less the award $27,213,468.74. A negative figure is an award ABOVE the plan. No source says what any remainder funds; the Governor says the round 'completes the distribution'."
AR,allocation less award: HEART,85999.9,UNEXPLAINED,data/evidence/AR/2026-05_ar_year1_revised_budget_narrative.pdf,"Narrative allocation $27,557,600.00 less the award $27,471,600.10. A negative figure is an award ABOVE the plan. No source says what any remainder funds; the Governor says the round 'completes the distribution'."
AR,"anchor rounding (footer $208,779,396.02 vs anchor)",0.02,ARITHMETIC,,The anchor is CMS's rounded table figure; the NOA and every footer carry $0.02 more.
