state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,phase,phase_date,initiative_number,initiative,initiative_amount,strategy,recipient_count,amount_basis,flow_type,hospital_benefiting,determination_confidence,determination_basis,source_archive_path,flag_reason
GA,1,Georgia Department of Public Health,,STATE_AGENCY,No,"Expands newborn screening at the Waycross laboratory. Recipient is the state health agency; the benefit is to rural families, not to a hospital (§10.2 judges the recipient).",Yes,No,FY2026 (Year 1),Georgia Awards First GREAT Health Program Subgrantees,https://dch.georgia.gov/announcement/2026-06-08/georgia-awards-first-great-health-program-subgrantees,AGENCY_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,1,2026-06-08,,,12730000,Public Health Investments: Georgia Newborn Screening Program,1,NOT_PUBLISHED,NON_HOSPITAL,No,HIGH,"DCH 2026-06-08 announcement, GREAT Health Phase 1. Expands newborn screening at the Waycross laboratory. Recipient is the state health agency; the benefit is to rural families, not to a hospital (§10.2 judges the recipient).",data/evidence/GA/2026-06-08_great_health_phase1_first_subgrantees.html,
GA,2,Side by Side,,NONPROFIT_CBO,No,Community-based brain injury program; funds the first rural ABI clubhouse.,Yes,No,FY2026 (Year 1),Georgia Awards First GREAT Health Program Subgrantees,https://dch.georgia.gov/announcement/2026-06-08/georgia-awards-first-great-health-program-subgrantees,AGENCY_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,1,2026-06-08,,,12730000,Support for Acquired Brain Injury (ABI) Survivors,1,NOT_PUBLISHED,NON_HOSPITAL,No,HIGH,"DCH 2026-06-08 announcement, GREAT Health Phase 1. Community-based brain injury program; funds the first rural ABI clubhouse.",data/evidence/GA/2026-06-08_great_health_phase1_first_subgrantees.html,
GA,3,University System of Georgia,,UNIVERSITY_OR_AHC,No,Nurse Summer Camps to build the nursing pipeline.,Yes,No,FY2026 (Year 1),Georgia Awards First GREAT Health Program Subgrantees,https://dch.georgia.gov/announcement/2026-06-08/georgia-awards-first-great-health-program-subgrantees,AGENCY_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,1,2026-06-08,,,12730000,Nursing Care Improvements,1,NOT_PUBLISHED,NON_HOSPITAL,No,HIGH,"DCH 2026-06-08 announcement, GREAT Health Phase 1. Nurse Summer Camps to build the nursing pipeline.",data/evidence/GA/2026-06-08_great_health_phase1_first_subgrantees.html,
GA,4,Georgia Statewide AHEC Network,,AHEC,No,"Short-term housing for students in rural placements and Digital Health Navigator training. Rural sites host the placements, so hospitals benefit without receiving funds.",Yes,No,FY2026 (Year 1),Georgia Awards First GREAT Health Program Subgrantees,https://dch.georgia.gov/announcement/2026-06-08/georgia-awards-first-great-health-program-subgrantees,AGENCY_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,1,2026-06-08,,,12730000,Area Health Education Center (AHEC) Training & Housing,1,NOT_PUBLISHED,NON_HOSPITAL,Yes,HIGH,"DCH 2026-06-08 announcement, GREAT Health Phase 1. Short-term housing for students in rural placements and Digital Health Navigator training. Rural sites host the placements, so hospitals benefit without receiving funds.",data/evidence/GA/2026-06-08_great_health_phase1_first_subgrantees.html,
GA,5,Sharecare,,VENDOR_OR_CONTRACTOR,No,Consumer wellness platform. A vendor receives the money and consumers use the product.,Yes,No,FY2026 (Year 1),Georgia Awards First GREAT Health Program Subgrantees,https://dch.georgia.gov/announcement/2026-06-08/georgia-awards-first-great-health-program-subgrantees,AGENCY_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,1,2026-06-08,,,12730000,Consumer Engagement Enhancements,1,NOT_PUBLISHED,NON_HOSPITAL,No,HIGH,"DCH 2026-06-08 announcement, GREAT Health Phase 1. Consumer wellness platform. A vendor receives the money and consumers use the product.",data/evidence/GA/2026-06-08_great_health_phase1_first_subgrantees.html,
GA,6,Georgia Health Information Network (GaHIN),,VENDOR_OR_CONTRACTOR,No,"Statewide nonprofit health information exchange. Coded VENDOR_OR_CONTRACTOR for consistency with FL's CommunityHealth IT, which is the same kind of entity; recipient_type is inferred from the name and not stated by DCH.",Yes,No,FY2026 (Year 1),Georgia Issues $30 Million in Phase 2 GREAT Health Awards to Advance Rural Healthcare Transformation,https://dch.georgia.gov/announcement/2026-07-16/georgia-issues-30-million-phase-2-great-health-awards-advance-rural,AGENCY_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,2,2026-07-16,2,Strengthening the Continuum of Care in Rural Georgia,4600000,Care coordination and cross-sector connection,1,NOT_PUBLISHED,NON_HOSPITAL,Yes,MEDIUM,"DCH 2026-07-16 announcement, GREAT Health Phase 2, Initiative 2. Statewide nonprofit health information exchange. Coded VENDOR_OR_CONTRACTOR for consistency with FL's CommunityHealth IT, which is the same kind of entity; recipient_type is inferred from the name and not stated by DCH.",data/evidence/GA/2026-07-16_great_health_phase2_awards.html,
GA,7,Morehouse School of Medicine,,UNIVERSITY_OR_AHC,No,,Yes,No,FY2026 (Year 1),Georgia Issues $30 Million in Phase 2 GREAT Health Awards to Advance Rural Healthcare Transformation,https://dch.georgia.gov/announcement/2026-07-16/georgia-issues-30-million-phase-2-great-health-awards-advance-rural,AGENCY_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,2,2026-07-16,2,Strengthening the Continuum of Care in Rural Georgia,4600000,Care coordination and cross-sector connection,1,NOT_PUBLISHED,NON_HOSPITAL,No,HIGH,"DCH 2026-07-16 announcement, GREAT Health Phase 2, Initiative 2. Recipient named in the source; no recipient-level amount published.",data/evidence/GA/2026-07-16_great_health_phase2_awards.html,
GA,8,Georgia State University,,UNIVERSITY_OR_AHC,No,,Yes,No,FY2026 (Year 1),Georgia Issues $30 Million in Phase 2 GREAT Health Awards to Advance Rural Healthcare Transformation,https://dch.georgia.gov/announcement/2026-07-16/georgia-issues-30-million-phase-2-great-health-awards-advance-rural,AGENCY_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,2,2026-07-16,2,Strengthening the Continuum of Care in Rural Georgia,4600000,Care coordination and cross-sector connection,1,NOT_PUBLISHED,NON_HOSPITAL,No,HIGH,"DCH 2026-07-16 announcement, GREAT Health Phase 2, Initiative 2. Recipient named in the source; no recipient-level amount published.",data/evidence/GA/2026-07-16_great_health_phase2_awards.html,
GA,9,Georgia Department of Behavioral Health and Developmental Disabilities (DBHDD),,STATE_AGENCY,No,Transportation-to-treatment for people in mental health crisis.,Yes,No,FY2026 (Year 1),Georgia Issues $30 Million in Phase 2 GREAT Health Awards to Advance Rural Healthcare Transformation,https://dch.georgia.gov/announcement/2026-07-16/georgia-issues-30-million-phase-2-great-health-awards-advance-rural,AGENCY_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,2,2026-07-16,2,Strengthening the Continuum of Care in Rural Georgia,4600000,Care coordination and cross-sector connection,1,NOT_PUBLISHED,NON_HOSPITAL,No,HIGH,"DCH 2026-07-16 announcement, GREAT Health Phase 2, Initiative 2. Transportation-to-treatment for people in mental health crisis.",data/evidence/GA/2026-07-16_great_health_phase2_awards.html,
GA,10,Georgia Department of Education,,STATE_AGENCY,No,"§0.3a's worked contrast, in Georgia: school-based health infrastructure awarded to the Department of Education is NON_HOSPITAL because of the recipient, not the setting. Delaware's school-based health centre awarded to Beebe Healthcare is DIRECT.",Yes,No,FY2026 (Year 1),Georgia Issues $30 Million in Phase 2 GREAT Health Awards to Advance Rural Healthcare Transformation,https://dch.georgia.gov/announcement/2026-07-16/georgia-issues-30-million-phase-2-great-health-awards-advance-rural,AGENCY_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,2,2026-07-16,2,Strengthening the Continuum of Care in Rural Georgia,4600000,School-based health infrastructure development,1,NOT_PUBLISHED,NON_HOSPITAL,No,HIGH,"DCH 2026-07-16 announcement, GREAT Health Phase 2, Initiative 2. §0.3a's worked contrast, in Georgia: school-based health infrastructure awarded to the Department of Education is NON_HOSPITAL because of the recipient, not the setting. Delaware's school-based health centre awarded to Beebe Healthcare is DIRECT.",data/evidence/GA/2026-07-16_great_health_phase2_awards.html,
GA,11,Appling Healthcare,,HOSPITAL_OR_SYSTEM,Yes,,Yes,No,FY2026 (Year 1),Georgia Issues $30 Million in Phase 2 GREAT Health Awards to Advance Rural Healthcare Transformation,https://dch.georgia.gov/announcement/2026-07-16/georgia-issues-30-million-phase-2-great-health-awards-advance-rural,AGENCY_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,2,2026-07-16,3,Connecting to Care to Improve Healthcare Access in Rural Georgia,6500000,Rural Stabilization Grant,1,NOT_PUBLISHED,DIRECT,Yes,MEDIUM,"DCH 2026-07-16 announcement, GREAT Health Phase 2, Initiative 3. Recipient named in the source; no recipient-level amount published.",data/evidence/GA/2026-07-16_great_health_phase2_awards.html,
GA,12,Clinch County Hospital Authority,,HOSPITAL_OR_SYSTEM,Yes,,Yes,No,FY2026 (Year 1),Georgia Issues $30 Million in Phase 2 GREAT Health Awards to Advance Rural Healthcare Transformation,https://dch.georgia.gov/announcement/2026-07-16/georgia-issues-30-million-phase-2-great-health-awards-advance-rural,AGENCY_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,2,2026-07-16,3,Connecting to Care to Improve Healthcare Access in Rural Georgia,6500000,Rural Stabilization Grant,1,NOT_PUBLISHED,DIRECT,Yes,MEDIUM,"DCH 2026-07-16 announcement, GREAT Health Phase 2, Initiative 3. Recipient named in the source; no recipient-level amount published.",data/evidence/GA/2026-07-16_great_health_phase2_awards.html,
GA,13,Colquitt Regional Medical Center,,HOSPITAL_OR_SYSTEM,Yes,,Yes,No,FY2026 (Year 1),Georgia Issues $30 Million in Phase 2 GREAT Health Awards to Advance Rural Healthcare Transformation,https://dch.georgia.gov/announcement/2026-07-16/georgia-issues-30-million-phase-2-great-health-awards-advance-rural,AGENCY_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,2,2026-07-16,3,Connecting to Care to Improve Healthcare Access in Rural Georgia,6500000,Rural Stabilization Grant,1,NOT_PUBLISHED,DIRECT,Yes,MEDIUM,"DCH 2026-07-16 announcement, GREAT Health Phase 2, Initiative 3. Recipient named in the source; no recipient-level amount published.",data/evidence/GA/2026-07-16_great_health_phase2_awards.html,
GA,14,Crisp Regional Hospital,,HOSPITAL_OR_SYSTEM,Yes,,Yes,No,FY2026 (Year 1),Georgia Issues $30 Million in Phase 2 GREAT Health Awards to Advance Rural Healthcare Transformation,https://dch.georgia.gov/announcement/2026-07-16/georgia-issues-30-million-phase-2-great-health-awards-advance-rural,AGENCY_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,2,2026-07-16,3,Connecting to Care to Improve Healthcare Access in Rural Georgia,6500000,Rural Stabilization Grant,1,NOT_PUBLISHED,DIRECT,Yes,MEDIUM,"DCH 2026-07-16 announcement, GREAT Health Phase 2, Initiative 3. Recipient named in the source; no recipient-level amount published.",data/evidence/GA/2026-07-16_great_health_phase2_awards.html,
