state,budget_summary_line,recipient_table,stage,named_recipients,rows_naming_nobody,initiative_original_budget,initiative_approved_award,channel,approval_date,source_document_title,state_source_url,note
WY,1.1. Critical Access Hospital - Basic,1.1 Critical Access Hospital - Basic,APPROVED_ROSTER_PUBLISHED,18,0,66749544,48200174,Recipient-level table in the 2026-08-11 Award Approvals document.,2026-08-11,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26 (Budget Summary)",https://health.wyo.gov/admin/rural-health-transformation-program/,Extracted into wy_year1_awardees.csv.
WY,1.2. EMS regionalization,1.2 EMS Regionalization,APPROVED_ROSTER_PUBLISHED,11,0,44117021,23260000,Recipient-level table in the 2026-08-11 Award Approvals document.,2026-08-11,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26 (Budget Summary)",https://health.wyo.gov/admin/rural-health-transformation-program/,Extracted into wy_year1_awardees.csv.
WY,1. EMS & labor/delivery targeted (equal priority),NONE,APPROVED_AT_POOL_LEVEL_NO_ROSTER,0,0,0,17612195,"One or more FISCAL AGENTS, to be contracted. The committee's own sweep of the unallocated balance, split ~50/50 between EMS sustainability and labor & delivery preservation. NOBODY NAMED.",2026-08-11,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26 (Budget Summary)",https://health.wyo.gov/admin/rural-health-transformation-program/,"APPROVED AT POOL LEVEL AGAINST NO RECIPIENT TABLE AND NO NAMED ADMINISTRATOR. This is the $30,877,990 that names nobody at all, and it is a fact about what Wyoming has PUBLISHED, never a claim that it awarded nothing (§0.4)."
WY,2.1. Workforce education individual support,NONE,APPROVED_TO_NAMED_ADMINISTRATOR_NO_SUBRECIPIENT,1,0,35424820,35424820,"SOLE-SOURCE master fiscal agent contract with the Wyoming Innovation Partnership (WIP), per the minutes. WIP is named as the ADMINISTRATOR; no subrecipient is.",2026-08-11,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26 (Budget Summary)",https://health.wyo.gov/admin/rural-health-transformation-program/,"APPROVED TO A NAMED DESIGNATED ADMINISTRATOR WITH NO SUBRECIPIENT NAMED. The Wyoming Innovation Partnership is Wyoming's largest single recipient at $38,618,260 across these two lines, and it is in wy_year1_awardees.csv as PASS_THROUGH_UNRESOLVED + Unclear -- New Hampshire's FHC coding and NOT Illinois's ICAHN coding, because the eligible class is individuals and institutions rather than hospitals only (§0.3)."
WY,2.2. Physician GME,2.2 Physician GME,APPROVED_ROSTER_PUBLISHED,3,0,17712410,17712410,Recipient-level table in the 2026-08-11 Award Approvals document.,2026-08-11,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26 (Budget Summary)",https://health.wyo.gov/admin/rural-health-transformation-program/,Extracted into wy_year1_awardees.csv.
WY,2.3. Workforce education startup,NONE,APPROVED_TO_NAMED_ADMINISTRATOR_NO_SUBRECIPIENT,1,0,3193440,3193440,"SOLE-SOURCE master fiscal agent contract with the Wyoming Innovation Partnership (WIP), per the minutes. WIP is named as the ADMINISTRATOR; no subrecipient is.",2026-08-11,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26 (Budget Summary)",https://health.wyo.gov/admin/rural-health-transformation-program/,"APPROVED TO A NAMED DESIGNATED ADMINISTRATOR WITH NO SUBRECIPIENT NAMED. The Wyoming Innovation Partnership is Wyoming's largest single recipient at $38,618,260 across these two lines, and it is in wy_year1_awardees.csv as PASS_THROUGH_UNRESOLVED + Unclear -- New Hampshire's FHC coding and NOT Illinois's ICAHN coding, because the eligible class is individuals and institutions rather than hospitals only (§0.3)."
WY,3.1. Technology adoption challenge,3.1 Technology Adoption Challenge,APPROVED_ROSTER_PUBLISHED,10,0,6458917,12652243,Recipient-level table in the 2026-08-11 Award Approvals document.,2026-08-11,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26 (Budget Summary)",https://health.wyo.gov/admin/rural-health-transformation-program/,Extracted into wy_year1_awardees.csv.
WY,3.2. Statewide tele-specialist,NONE,APPROVED_AT_POOL_LEVEL_NO_ROSTER,0,0,3493440,3493440,Authorised for a COMPETITIVE RFP that had not been issued. NOBODY NAMED.,2026-08-11,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26 (Budget Summary)",https://health.wyo.gov/admin/rural-health-transformation-program/,"APPROVED AT POOL LEVEL AGAINST NO RECIPIENT TABLE AND NO NAMED ADMINISTRATOR. This is the $30,877,990 that names nobody at all, and it is a fact about what Wyoming has PUBLISHED, never a claim that it awarded nothing (§0.4)."
WY,3.3. Transportation coordination,NONE,APPROVED_AT_POOL_LEVEL_NO_ROSTER,0,0,828808,828808,Authorised for a COMPETITIVE RFP that had not been issued. NOBODY NAMED.,2026-08-11,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26 (Budget Summary)",https://health.wyo.gov/admin/rural-health-transformation-program/,"APPROVED AT POOL LEVEL AGAINST NO RECIPIENT TABLE AND NO NAMED ADMINISTRATOR. This is the $30,877,990 that names nobody at all, and it is a fact about what Wyoming has PUBLISHED, never a claim that it awarded nothing (§0.4)."
WY,3.4. Centralized billing,NONE,APPROVED_AT_POOL_LEVEL_NO_ROSTER,0,0,2075168,2075168,Authorised for a COMPETITIVE RFP that had not been issued. NOBODY NAMED.,2026-08-11,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26 (Budget Summary)",https://health.wyo.gov/admin/rural-health-transformation-program/,"APPROVED AT POOL LEVEL AGAINST NO RECIPIENT TABLE AND NO NAMED ADMINISTRATOR. This is the $30,877,990 that names nobody at all, and it is a fact about what Wyoming has PUBLISHED, never a claim that it awarded nothing (§0.4)."
