state,state_name,fy2026_allotment,rows,priced_rows,published_priced,pct_priced,pool_level_unpriced,published_incl_pool_level,pct_incl_pool_level,year1_status,source_calls_complete,remaining_unawarded,evidence_date,evidence,evidence_path
GA,Georgia,218862170,158,102,90765080,41.5,106383247,197148327,90.1,COMPLETE,Yes,No,2026-08-27,"DCH: 'has awarded the final phase of Year 1 funding' and Phase 4 'complete[s] the initial Year 1 award cycle for the GREAT Health Program'. CMS's release the same day, independently: 'completes Georgia's initial Year 1 award cycle'. DCH states <10% of Year 1 is administrative, which is the 9.92% residual. One in-kind step is pending but is not an unawarded initiative: DCH 'completed the procurement process for Type 2 ambulances that select rural hospitals will be eligible to apply for soon'.",data/evidence/GA/2026-08-27_great_health_phase4_awards.html; data/raw/cms/2026-08-28/newsroom/releases/trump-administration-announces-93-3-million-expand-telehealth-services-advance-surgical-robotics.html
FL,Florida,209938195,81,81,188201256.11,89.6,0,188201256.11,89.6,COMPLETE,Yes,No,2026-08-11,"Governor's release: 'With this latest round of awards, AHCA has awarded the full scope of Florida's RHTP funding to qualified organizations.' AHCA's programme page: 'Year 1 RHTP Sub-awardees have been awarded.' The 81 published awards are the Governor's own list to the cent (session 21). The ~$21.7M gap to the allotment is earlier monitoring/support procurements the release says were awarded 'earlier this year' with no published recipient list -- awarded, not outstanding.",data/evidence/recheck/2026-08-29/FL/FL_governor_188m_release.html; data/evidence/recheck/2026-08-29/FL/FL_ahca_rhtp_program_page.html
AK,Alaska,272174856,244,244,239186194.73,87.9,0,239186194.73,87.9,PARTIAL,No,Yes,2026-09-21,"Alaska announces awards 'on a rolling weekly basis' (Funding Cycle Update; 185 -> 244 actions between snapshots, session 46). CMS's Alaska release: 'Additional awards are coming.'",data/evidence/AK/2026-09-21_alaska_rhtp_year1_funding_cycle_update.pdf; data/raw/cms/2026-08-28/state_press_releases/AK_cms_press_release_main.html
OR,Oregon,197271578,278,272,140994008.83,71.5,26700000,167694008.83,85,PARTIAL,No,Yes,2026-07-07,"OHA: 'Oregon has SO FAR awarded about $175.3 million'. Immediate Impact Wave 2 names 21 of its stated 33 projects, and the Tribal ($21.7M) and LPHA ($5M) pools name nobody (session 17).",data/evidence/OR/2026-07-07_oha_news_release.html; data/evidence/OR/2026-08-28_oha_rhtp_awards_page.html
WY,Wyoming,205004743,77,75,173859751.74,84.8,267000,174126751.74,84.9,PARTIAL,No,Yes,2026-08-11,"The Advisory Committee approved every budget line, but $30,877,990 is approved at POOL level naming nobody, including three competitive RFPs; every row is an approval pending execution (session 42).",data/evidence/WY/2026-09-03_wy_advisory_committee_award_approvals_2026-08-11.pdf
SC,South Carolina,200030252,228,228,167299900.69,83.6,0,167299900.69,83.6,PARTIAL,No,Yes,2026-09-15,"Four of five initiatives awarded; the Tech Catalyst Fund ($32,730,351, via SCRA) 'will be announced through a future stage' (session 47).",data/evidence/SC/2026-09-21_scdhhs_grants_rhtp_programme.html
AR,Arkansas,208779396,37,37,149177618.45,71.5,0,149177618.45,71.5,PARTIAL,No,Yes,2026-09-03,Two of four initiatives awarded; RISE AR and HEART closed 2026-07-24 and 2026-08-07 with no award date (session 40).,data/evidence/AR/2026-09-03_ar_rhtp_home.html
AL,Alabama,203404327,138,138,143745821,70.7,0,143745821,70.7,PARTIAL,No,Yes,2026-08-24,"Governor Ivey's release: 'During this initial round of grant funding, five of those initiatives are being funded ... Grant awards for additional initiatives are in process and will be announced at a later date.'",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html
MI,Michigan,173128201,145,145,101318437,58.5,0,101318437,58.5,PARTIAL,No,Yes,2026-09-01,"MDHHS's 'all RHTP Subrecipients' is a claim that the ROSTER is complete, not the ROUND: the same programme page carries 'Upcoming Funding Opportunities -- To receive updates when additional RHTP GFOs are released, please sign up for the listserv.' 40.4% of the allotment is published.",data/evidence/MI/2026-09-01_mi_rhtp_program_page.html
NJ,New Jersey,147250806,103,103,83060837,56.4,0,83060837,56.4,PARTIAL,No,Yes,2026-07-31,"The Governor: 'the first round of grant awards ... investing $83 million', against 'the Department of Health administering approximately $95 million in competitive grant funding' (session 61).",data/evidence/recheck/2026-09-24/NJ/governor_release_2026-07-31_first_round_awards.html
