state,group,rcj_rows,rcj_amount_sum,disposition,evidence
OR,"In the award file, name and amount exact -- OR - 2026 - OHA announces grants to advance rural healthcare in every Oregon county",23,11052412,RHTP_SUBAWARD_IN_FILE,"23 row(s), $11,052,412. Each matches a row of or_year1_awardees.csv on the normalised name and the amount to the dollar -- a real award this repository extracted from the state's own document, not from RCJ. 0 first seen after 08-27. Evidence: data/evidence/OR/ (2026-05-07 Transformation bulletin, 2026-07-07 release, Catalyst xlsx, awards page)."
OR,"In the award file, name and amount exact -- OR - 2026 - Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics",128,44298000,RHTP_SUBAWARD_IN_FILE,"128 row(s), $44,298,000. Each matches a row of or_year1_awardees.csv on the normalised name and the amount to the dollar -- a real award this repository extracted from the state's own document, not from RCJ. 0 first seen after 08-27. Evidence: data/evidence/OR/ (2026-05-07 Transformation bulletin, 2026-07-07 release, Catalyst xlsx, awards page)."
OR,"In the award file, name and amount exact -- OR - 2026 - Oregon RHTP Catalyst Awards — Year 1 (FY2026) project-level funding data. 103 projects across 85 organizations, $80.1M total Year 1 funds distributed.",100,78819361.39,RHTP_SUBAWARD_IN_FILE,"100 row(s), $78,819,361. Each matches a row of or_year1_awardees.csv on the normalised name and the amount to the dollar -- a real award this repository extracted from the state's own document, not from RCJ. 0 first seen after 08-27. Evidence: data/evidence/OR/ (2026-05-07 Transformation bulletin, 2026-07-07 release, Catalyst xlsx, awards page)."
OR,"In the award file, name and amount exact -- OR - 2026 - RHTP Awards & Investments in Rural Communities",1,398000,RHTP_SUBAWARD_IN_FILE,"1 row(s), $398,000. Each matches a row of or_year1_awardees.csv on the normalised name and the amount to the dollar -- a real award this repository extracted from the state's own document, not from RCJ. 0 first seen after 08-27. Evidence: data/evidence/OR/ (2026-05-07 Transformation bulletin, 2026-07-07 release, Catalyst xlsx, awards page)."
OR,A second RCJ record of an award already matched -- OR - 2026 - OHA announces grants to advance rural healthcare in every Oregon county,100,78819361.39,DUPLICATE_OF_EXTRACTED_AWARD,"100 row(s), $78,819,361. The same name and amount as an award in or_year1_awardees.csv that another RCJ record has already matched: RCJ ingests one award from two documents, or twice from one (§6.1 mode 4, wrong grain). Counting these counts each award twice. 0 first seen after 08-27. Evidence: data/evidence/OR/ (2026-05-07 Transformation bulletin, 2026-07-07 release, Catalyst xlsx, awards page)."
OR,A second RCJ record of an award already matched -- OR - 2026 - RHTP Awards & Investments in Rural Communities,6,3109000,DUPLICATE_OF_EXTRACTED_AWARD,"6 row(s), $3,109,000. The same name and amount as an award in or_year1_awardees.csv that another RCJ record has already matched: RCJ ingests one award from two documents, or twice from one (§6.1 mode 4, wrong grain). Counting these counts each award twice. 0 first seen after 08-27. Evidence: data/evidence/OR/ (2026-05-07 Transformation bulletin, 2026-07-07 release, Catalyst xlsx, awards page)."
OR,"In the award file, which prints no amount for it -- OR - 2026 - OHA announces grants to advance rural healthcare in every Oregon county",2,0,RHTP_SUBAWARD_IN_FILE_NO_STATE_AMOUNT,"2 row(s), $0. The recipient is in or_year1_awardees.csv, where the state published the award and NO amount; RCJ's figure (a $0 or $1 placeholder, or its own) is not a state figure. 0 first seen after 08-27. Evidence: data/evidence/OR/ (2026-05-07 Transformation bulletin, 2026-07-07 release, Catalyst xlsx, awards page)."
OR,"Harney District Hospital's Catalyst award, re-published and rounded",1,2400000,RHTP_SUBAWARD_IN_FILE_ROUNDED_ELSEWHERE,"1 row(s), $2,400,000. The Catalyst award to Harney County Health District (DBA Harney District Hospital), $2,409,781.20 in OHA's own Catalyst data file and in or_year1_awardees.csv, re-published by a second outlet as '$2.4 Million'. Counting it would count one award twice. The '2025' in RCJ's title is aggregator metadata, not a date (§2). Evidence: data/evidence/OR/2026-08-28_oha_RHTP-Awards-Data.xlsx. 1 first seen after 08-27."
OR,Immediate Impact awards the file names differently,11,3656651,RHTP_SUBAWARD_IN_FILE_UNDER_ANOTHER_NAME,"11 row(s), $3,656,651. Real Immediate Impact awards that ARE in or_year1_awardees.csv at the same amount to the dollar, where the release prints the PROJECT or a short form and the file keeps OHA's wording: Comagine Health ($288,104 'Comagine'; $254,334 'PRIME+ Training and Support for Peer Support Specialists'), Lines for Life ($80,765, 'Custody to Counseling Pipeline'), OHSU ($398,000), the ORPRN/ORCHWA/Familias/OWN partnership ($363,000, a §6.2 multi-recipient field), Oasis Clinic ($320,281), Oregon AHEC ($1,012,479), Oregon Community Food System Network ($358,171, 'Veggie Rx Expansion'), Oregon Washington Network ($79,615), and Siskiyou Community Health Center ($138,902, the EFDA dental workforce project). Matched by hand, because a machine may not (§2). Evidence: data/evidence/OR/2026-07-07_oha_news_release.html. 0 first seen after 08-27."
OR,Immediate Impact rows at $0 and a worksheet footer,3,0,NOT_A_PRICED_AWARD,"3 row(s), $0. 'End of worksheet' is the xlsx's own footer read as an awardee. 'OHA' and 'System of Care Advisory Council (SOCAC)' are the release's projects that print NO amount and no outside recipient; or_year1_awardees.csv carries them as 'System of Care Transformation Regional Convenings' and two 'Not identified in the source' rows, amount empty. RCJ's $0 is not a state figure. Evidence: data/evidence/OR/2026-07-07_oha_news_release.html. 0 first seen after 08-27."
