state,group,rcj_rows,rcj_amount_sum,disposition,evidence
KS,"In the award file, name and amount exact -- KS - 2025 - Kansas RHTP Award Recipients Announced",14,16006648,RHTP_SUBAWARD_IN_FILE,"14 row(s), $16,006,648. Each matches a row of ks_year1_awardees.csv on the normalised name and the amount to the dollar -- a real award this repository extracted from the state's own document, not from RCJ. 14 first seen after 08-27. Evidence: data/evidence/KS/ (REH CAP + RPGP winners, CHW+AFIM descriptions, Emerging Technology winners)."
KS,"In the award file, name and amount exact -- KS - 2026 - 2026 Regional Partnerships Grant Program (RPGP) Awardees",38,78555061,RHTP_SUBAWARD_IN_FILE,"38 row(s), $78,555,061. Each matches a row of ks_year1_awardees.csv on the normalised name and the amount to the dollar -- a real award this repository extracted from the state's own document, not from RCJ. 0 first seen after 08-27. Evidence: data/evidence/KS/ (REH CAP + RPGP winners, CHW+AFIM descriptions, Emerging Technology winners)."
KS,"In the award file, name and amount exact -- KS - 2026 - Kansas RHTP Community Health Worker (CHW) + Accountable Food is Medicine (AFIM) Awarded Project Descriptions",7,1007152,RHTP_SUBAWARD_IN_FILE,"7 row(s), $1,007,152. Each matches a row of ks_year1_awardees.csv on the normalised name and the amount to the dollar -- a real award this repository extracted from the state's own document, not from RCJ. 0 first seen after 08-27. Evidence: data/evidence/KS/ (REH CAP + RPGP winners, CHW+AFIM descriptions, Emerging Technology winners)."
KS,A second RCJ record of an award already matched -- KS - 2025 - Kansas RHTP KRHIA Meeting 6/17/2026,4,8050000,DUPLICATE_OF_EXTRACTED_AWARD,"4 row(s), $8,050,000. The same name and amount as an award in ks_year1_awardees.csv that another RCJ record has already matched: RCJ ingests one award from two documents, or twice from one (§6.1 mode 4, wrong grain). Counting these counts each award twice. 4 first seen after 08-27. Evidence: data/evidence/KS/ (REH CAP + RPGP winners, CHW+AFIM descriptions, Emerging Technology winners)."
KS,An allocation minuted by the Emerging Technology Committee,1,6000000,RHTP_BUT_NOT_A_SUBAWARD,"1 row(s), $6,000,000. The committee summary says '$6 million was allocated for ambient AI at Oracle-based rural sites with Great Plains Health Alliance as the initial partner' -- an allocation, not an award. Great Plains Health Alliance's actual RHTP award is its RPGP grant, $5,000,000, in ks_year1_awardees.csv. Evidence: data/evidence/KS/2026-08-29_kdhe_reh_cap_and_rpgp_award_winners.pdf. 0 first seen after 08-27."
KS,KRHIA deck: Stormont Vail at a figure no KDHE document prints,1,2180000,AMOUNT_MATCHES_NO_STATE_FIGURE,"1 row(s), $2,180,000. UNRESOLVED. Stormont Vail Health's only Kansas award here is its RPGP grant, $5,465,969; the KRHIA deck's $2,180,000 matches no KDHE figure, rounded or otherwise, and the deck is not archived. Not a second award on this evidence (§0.4). 1 first seen after 08-27."
KS,"KRHIA deck: the REH/CAP awards re-published rounded to $10,000",13,21070000,RHTP_SUBAWARD_IN_FILE_ROUNDED_ELSEWHERE,"13 row(s), $21,070,000. Real REH/CAP awards that ARE in ks_year1_awardees.csv, re-published in the KRHIA meeting deck rounded to the nearest $10,000 (Clara Barton $2,933,500 -> $2,930,000; Compass Behavioral Health $165,000 -> $170,000). The four whose award was already round carry exactly and sit in the CARRIED_TWICE group. Counting these would count each award twice. The '2025' in RCJ's title is aggregator metadata (§2). Evidence: data/evidence/KS/2026-08-29_kdhe_reh_cap_and_rpgp_award_winners.pdf. 13 first seen after 08-27."
KS,"Year 1 budget-narrative contractor lines, carried once per revision",8,13201652.8,TIER_2_BUDGET_LINE,"8 row(s), $13,201,653. Tier 2 (§6.1 mode 2): contractor lines in the Year 1 budget narrative (BDO, Boston Consulting Group, Fort Hays State's Docking Institute, Sunflower Foundation, UKHS Care Collaborative Association). RCJ prices Revision 1 and Revision 2 as separate awards, so the same line appears twice at two figures (BCG $3,000,000 and $4,750,000) -- Connecticut's revision double-count. Session 28 found the plan's pool budgets deliberately do not reconcile to the awards (§0.3). Evidence: data/evidence/KS/2026-08-29_kdhe_rhtp_program_page.html (the narrative is registered as `budget_rev2` in R/03o). 0 first seen after 08-27."
KS,Year 2 budget-narrative lines,7,12408293.5,TIER_2_BUDGET_LINE,"7 row(s), $12,408,294. The wrong TIER (§6.1 mode 2): contractor and subrecipient lines in Kansas's Year 2 (FY2026-27) budget narrative, a plan for the NEXT budget period, including two rows whose 'awardee' is 'Implementing Healthcare Organizations selected in Year 1/Year 2' -- a class. Not awards. No state copy of the Year 2 narrative is archived here. 7 first seen after 08-27."
KS,Award-file rows no RCJ candidate matches,0,0,FILE_ROWS_RCJ_DOES_NOT_CARRY_EXACTLY,"1 of 60 row(s) of ks_year1_awardees.csv are matched by no live candidate on name and amount, 1 of them priced ($458,286). Some are carried under another name or figure (the hand-read groups above); the rest RCJ does not carry, or the row is an unnamed pool or a name the file keeps from the source. E.g.: Greeley County Health Services."
