state,rfp,programme,notice_date,footer_amount,footer_tier,footer_subject_is_programme_scoped,superseded_by,state_source_url,source_archive_path,note
IA,PHTHORC26009,Best and Brightest - Medical Equipment Procurement,2026-01-30,66002161.8,SOLICITATION,Yes,phthorc26009_feb,https://hhs.iowa.gov/media/18093/download?inline,data/evidence/IA/2026-01-30_ia_noia_phthorc26009_best_and_brightest_medical_equipment_procure.pdf,"TIER 2. The figure this notice's own footer attaches to this RFP. NEVER ADD IT TO ANOTHER ROW: four of the eleven notices carry the state allotment in the same slot, and the eleven sum to $854,852,514.73 against a $209,040,063.71 allotment (§0.2)."
IA,PHTHORC26010,Best and Brightest - Rural Healthcare Workforce Recruitment,2026-01-30,12600000,SOLICITATION,Yes,,https://hhs.iowa.gov/media/18094/download?inline,data/evidence/IA/2026-01-30_ia_noia_phthorc26010_best_and_brightest_rural_healthcare_workforc.pdf,"TIER 2. The figure this notice's own footer attaches to this RFP. NEVER ADD IT TO ANOTHER ROW: four of the eleven notices carry the state allotment in the same slot, and the eleven sum to $854,852,514.73 against a $209,040,063.71 allotment (§0.2)."
IA,COMPADM26001,Combat Cancer Technical Assistance Provider,2026-02-05,6000000,SOLICITATION,Yes,,https://hhs.iowa.gov/media/18135/download?inline,data/evidence/IA/2026-02-05_ia_noia_compadm26001_combat_cancer_technical_assistance_provider.pdf,"TIER 2. The figure this notice's own footer attaches to this RFP. NEVER ADD IT TO ANOTHER ROW: four of the eleven notices carry the state allotment in the same slot, and the eleven sum to $854,852,514.73 against a $209,040,063.71 allotment (§0.2)."
IA,PHTHOCC26755,Combat Cancer Prevention and Screening,2026-02-05,15128000,SOLICITATION,Yes,,https://hhs.iowa.gov/media/18136/download?inline,data/evidence/IA/2026-02-05_ia_noia_phthocc26755_combat_cancer_prevention_and_screening.pdf,"TIER 2. The figure this notice's own footer attaches to this RFP. NEVER ADD IT TO ANOTHER ROW: four of the eleven notices carry the state allotment in the same slot, and the eleven sum to $854,852,514.73 against a $209,040,063.71 allotment (§0.2)."
IA,PHTHORC26008,Centers of Excellence,2026-02-05,50000000,SOLICITATION,Yes,,https://hhs.iowa.gov/media/18137/download?inline,data/evidence/IA/2026-02-05_ia_noia_phthorc26008_centers_of_excellence.pdf,"TIER 2. The figure this notice's own footer attaches to this RFP. NEVER ADD IT TO ANOTHER ROW: four of the eleven notices carry the state allotment in the same slot, and the eleven sum to $854,852,514.73 against a $209,040,063.71 allotment (§0.2)."
IA,COMPADM26003,Communities of Care Technical Assistance Provider,2026-02-05,6000000,SOLICITATION,Yes,,https://hhs.iowa.gov/media/18138/download?inline,data/evidence/IA/2026-02-05_ia_noia_compadm26003_communities_of_care_technical_assistance_provi.pdf,"TIER 2. The figure this notice's own footer attaches to this RFP. NEVER ADD IT TO ANOTHER ROW: four of the eleven notices carry the state allotment in the same slot, and the eleven sum to $854,852,514.73 against a $209,040,063.71 allotment (§0.2)."
IA,COMPADM26002,Health Hub Technical Assistance Provider,2026-02-05,6000000,SOLICITATION,Yes,,https://hhs.iowa.gov/media/18139/download?inline,data/evidence/IA/2026-02-05_ia_noia_compadm26002_health_hub_technical_assistance_provider.pdf,"TIER 2. The figure this notice's own footer attaches to this RFP. NEVER ADD IT TO ANOTHER ROW: four of the eleven notices carry the state allotment in the same slot, and the eleven sum to $854,852,514.73 against a $209,040,063.71 allotment (§0.2)."
IA,PHTHORC26009,Best and Brightest - Medical Equipment Procurement (re-issued),2026-02-27,66002161.8,SOLICITATION,Yes,,https://hhs.iowa.gov/media/18330/download?inline,data/evidence/IA/2026-02-27_ia_noia_phthorc26009_best_and_brightest_medical_equipment_procure.pdf,"TIER 2. The figure this notice's own footer attaches to this RFP. NEVER ADD IT TO ANOTHER ROW: four of the eleven notices carry the state allotment in the same slot, and the eleven sum to $854,852,514.73 against a $209,040,063.71 allotment (§0.2)."
IA,PHTHOCC26756,Combat Cancer Health Hub Program,2026-06-18,209040063.71,STATE_ALLOTMENT,Yes,,https://hhs.iowa.gov/media/18884/download?inline,data/evidence/IA/2026-06-18_ia_noia_phthocc26756_combat_cancer_health_hub_program.pdf,"TIER 1. This is Iowa's whole FY2026 CMS allotment, matching the §7.1 anchor. It is NOT this RFP's pool and must never be read as one, nor added to any figure in this table."
IA,PHTHORC26011,Best and Brightest - Medical Equipment,2026-06-18,209040063.71,STATE_ALLOTMENT,Yes,,https://hhs.iowa.gov/media/18885/download?inline,data/evidence/IA/2026-06-18_ia_noia_phthorc26011_best_and_brightest_medical_equipment.pdf,"TIER 1. This is Iowa's whole FY2026 CMS allotment, matching the §7.1 anchor. It is NOT this RFP's pool and must never be read as one, nor added to any figure in this table."
IA,PHTHORC26012,Best and Brightest - Rural Healthcare Workforce Recruitment,2026-06-18,209040063.71,STATE_ALLOTMENT,Yes,,https://hhs.iowa.gov/media/18886/download?inline,data/evidence/IA/2026-06-18_ia_noia_phthorc26012_best_and_brightest_rural_healthcare_workforc.pdf,"TIER 1. This is Iowa's whole FY2026 CMS allotment, matching the §7.1 anchor. It is NOT this RFP's pool and must never be read as one, nor added to any figure in this table."
