state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,award_pool,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_basis,amount_basis,county,project_description,round_id,round_name,round_awards,round_amount,initiative,initiative_fund_use,source_archive_path,service_area,row_in_pool,section,listed_from,basis_type,verified_by,verified_basis
NV,1,Banner Churchill Community Hospital,,HOSPITAL_OR_SYSTEM,Yes,"Ambulance and imaging equipment (CT and Mammography) Service area: Churchill and Lyon – Fernley and Fallon. Published by the Nevada Health Authority on its RHT Funded Projects - Budget Period 1 page, which names every subrecipient and PUBLISHES NO AMOUNT FOR ANY OF THEM. The pool's own round total is in `round_amount`; it is NEVER divided across recipients (§6.2). Source snapshot: 2026-08-31.",Yes,No,2026,Nevada RHT Funded Projects - Budget Period 1: Rural Health System Flex Fund,https://www.nvha.nv.gov/RHTP/rht-funded-projects---bp1/,NOTICE_OF_INTENT_TO_AWARD,PARSED_HTML_TABLE,R/03u_nv_year1_awardees.R,,,,,Recipient name rule: name states a hospital.,HIGH,AMOUNT_MISSING,FLEX_FUND,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,NVHA publishes NO per-recipient amount; the pool round total is in round_amount,Churchill and Lyon – Fernley and Fallon,Ambulance and imaging equipment (CT and Mammography),FLEX,Rural Health System Flex Fund,39,36000000,Rural Health System Flex Fund,Rural Health System Flex Fund,data/evidence/NV/2026-09-24_nv_rht_funded_projects_bp1.html,Churchill and Lyon – Fernley and Fallon,1,Rural Health System Flex Fund,2026-08-31,,,
NV,2,Boulder City Hospital,,HOSPITAL_OR_SYSTEM,Yes,"Facility Equipment & Infrastructure Service area: Clark County - Boulder City. Published by the Nevada Health Authority on its RHT Funded Projects - Budget Period 1 page, which names every subrecipient and PUBLISHES NO AMOUNT FOR ANY OF THEM. The pool's own round total is in `round_amount`; it is NEVER divided across recipients (§6.2). Source snapshot: 2026-08-31.",Yes,No,2026,Nevada RHT Funded Projects - Budget Period 1: Rural Health System Flex Fund,https://www.nvha.nv.gov/RHTP/rht-funded-projects---bp1/,NOTICE_OF_INTENT_TO_AWARD,PARSED_HTML_TABLE,R/03u_nv_year1_awardees.R,,,,,Recipient name rule: name states a hospital.,HIGH,AMOUNT_MISSING,FLEX_FUND,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,NVHA publishes NO per-recipient amount; the pool round total is in round_amount,Clark County - Boulder City,Facility Equipment & Infrastructure,FLEX,Rural Health System Flex Fund,39,36000000,Rural Health System Flex Fund,Rural Health System Flex Fund,data/evidence/NV/2026-09-24_nv_rht_funded_projects_bp1.html,Clark County - Boulder City,2,Rural Health System Flex Fund,2026-08-31,,,
NV,3,Carlin Volunteer Fire Dept.,,EMS_OR_PSAP,No,"EMS Medical Equipment Service area: Elko. Published by the Nevada Health Authority on its RHT Funded Projects - Budget Period 1 page, which names every subrecipient and PUBLISHES NO AMOUNT FOR ANY OF THEM. The pool's own round total is in `round_amount`; it is NEVER divided across recipients (§6.2). Source snapshot: 2026-08-31.",Yes,No,2026,Nevada RHT Funded Projects - Budget Period 1: Rural Health System Flex Fund,https://www.nvha.nv.gov/RHTP/rht-funded-projects---bp1/,NOTICE_OF_INTENT_TO_AWARD,PARSED_HTML_TABLE,R/03u_nv_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_MISSING,FLEX_FUND,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"RECIPIENT TYPE VERIFIED (session 49): EMS_OR_PSAP. Basis (GENERAL_KNOWLEDGE, Claude, run by IN): Volunteer fire department (Carlin, Elko County); classified under the fire/EMS rule. https://www.nvha.nv.gov/RHTP/rht-funded-projects---bp1/ flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",NVHA publishes NO per-recipient amount; the pool round total is in round_amount,Elko,EMS Medical Equipment,FLEX,Rural Health System Flex Fund,39,36000000,Rural Health System Flex Fund,Rural Health System Flex Fund,data/evidence/NV/2026-09-24_nv_rht_funded_projects_bp1.html,Elko,3,Rural Health System Flex Fund,2026-08-31,GENERAL_KNOWLEDGE,"Claude, run by IN","Volunteer fire department (Carlin, Elko County); classified under the fire/EMS rule. https://www.nvha.nv.gov/RHTP/rht-funded-projects---bp1/"
NV,4,City of Ely Fire Department,,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"EMS Equipment & Transportation Service area: Ely. Published by the Nevada Health Authority on its RHT Funded Projects - Budget Period 1 page, which names every subrecipient and PUBLISHES NO AMOUNT FOR ANY OF THEM. The pool's own round total is in `round_amount`; it is NEVER divided across recipients (§6.2). Source snapshot: 2026-08-31.",Yes,No,2026,Nevada RHT Funded Projects - Budget Period 1: Rural Health System Flex Fund,https://www.nvha.nv.gov/RHTP/rht-funded-projects---bp1/,NOTICE_OF_INTENT_TO_AWARD,PARSED_HTML_TABLE,R/03u_nv_year1_awardees.R,,,,,Recipient name rule: name states a local government.,MEDIUM,AMOUNT_MISSING,FLEX_FUND,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient name rule: name states a local government. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",NVHA publishes NO per-recipient amount; the pool round total is in round_amount,Ely,EMS Equipment & Transportation,FLEX,Rural Health System Flex Fund,39,36000000,Rural Health System Flex Fund,Rural Health System Flex Fund,data/evidence/NV/2026-09-24_nv_rht_funded_projects_bp1.html,Ely,4,Rural Health System Flex Fund,2026-08-31,,,
NV,5,City of West Wendover,,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"EMS Medical Equipment Service area: Elko. Published by the Nevada Health Authority on its RHT Funded Projects - Budget Period 1 page, which names every subrecipient and PUBLISHES NO AMOUNT FOR ANY OF THEM. The pool's own round total is in `round_amount`; it is NEVER divided across recipients (§6.2). Source snapshot: 2026-08-31.",Yes,No,2026,Nevada RHT Funded Projects - Budget Period 1: Rural Health System Flex Fund,https://www.nvha.nv.gov/RHTP/rht-funded-projects---bp1/,NOTICE_OF_INTENT_TO_AWARD,PARSED_HTML_TABLE,R/03u_nv_year1_awardees.R,,,,,Recipient name rule: name states a local government.,MEDIUM,AMOUNT_MISSING,FLEX_FUND,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient name rule: name states a local government. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",NVHA publishes NO per-recipient amount; the pool round total is in round_amount,Elko,EMS Medical Equipment,FLEX,Rural Health System Flex Fund,39,36000000,Rural Health System Flex Fund,Rural Health System Flex Fund,data/evidence/NV/2026-09-24_nv_rht_funded_projects_bp1.html,Elko,5,Rural Health System Flex Fund,2026-08-31,,,
NV,6,Convergence Health,,PHYSICIAN_PRACTICE,No,"Cardiac Monitoring Equipment Service area: Elko. Published by the Nevada Health Authority on its RHT Funded Projects - Budget Period 1 page, which names every subrecipient and PUBLISHES NO AMOUNT FOR ANY OF THEM. The pool's own round total is in `round_amount`; it is NEVER divided across recipients (§6.2). Source snapshot: 2026-08-31.",Yes,No,2026,Nevada RHT Funded Projects - Budget Period 1: Rural Health System Flex Fund,https://www.nvha.nv.gov/RHTP/rht-funded-projects---bp1/,NOTICE_OF_INTENT_TO_AWARD,PARSED_HTML_TABLE,R/03u_nv_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,MEDIUM,AMOUNT_MISSING,FLEX_FUND,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"RECIPIENT TYPE VERIFIED (session 49): PHYSICIAN_PRACTICE. Basis (ORG_WEBSITE, Claude, run by IN): Convergence Health (formerly Elko Community Health Center), a private multispecialty practice with an ambulatory surgery center in Elko. https://www.elkonevada.com/july-membership-spotlight flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",NVHA publishes NO per-recipient amount; the pool round total is in round_amount,Elko,Cardiac Monitoring Equipment,FLEX,Rural Health System Flex Fund,39,36000000,Rural Health System Flex Fund,Rural Health System Flex Fund,data/evidence/NV/2026-09-24_nv_rht_funded_projects_bp1.html,Elko,6,Rural Health System Flex Fund,2026-08-31,ORG_WEBSITE,"Claude, run by IN","Convergence Health (formerly Elko Community Health Center), a private multispecialty practice with an ambulatory surgery center in Elko. https://www.elkonevada.com/july-membership-spotlight"
NV,7,DVH Hospital Alliance LLN dba Desert View Hospital,,HOSPITAL_OR_SYSTEM,Yes,"Facility Equipment Service area: Nye. Published by the Nevada Health Authority on its RHT Funded Projects - Budget Period 1 page, which names every subrecipient and PUBLISHES NO AMOUNT FOR ANY OF THEM. The pool's own round total is in `round_amount`; it is NEVER divided across recipients (§6.2). Source snapshot: 2026-08-31.",Yes,No,2026,Nevada RHT Funded Projects - Budget Period 1: Rural Health System Flex Fund,https://www.nvha.nv.gov/RHTP/rht-funded-projects---bp1/,NOTICE_OF_INTENT_TO_AWARD,PARSED_HTML_TABLE,R/03u_nv_year1_awardees.R,,,,,Recipient name rule: name states a hospital.,HIGH,AMOUNT_MISSING,FLEX_FUND,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,NVHA publishes NO per-recipient amount; the pool round total is in round_amount,Nye,Facility Equipment,FLEX,Rural Health System Flex Fund,39,36000000,Rural Health System Flex Fund,Rural Health System Flex Fund,data/evidence/NV/2026-09-24_nv_rht_funded_projects_bp1.html,Nye,7,Rural Health System Flex Fund,2026-08-31,,,
NV,8,Esmeralda County Clinics,,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"Set up and staff 3 rural clinics Service area: Esmeralda and Mineral - Goldfield, Silver Peak, and Fish Lake Valley. Published by the Nevada Health Authority on its RHT Funded Projects - Budget Period 1 page, which names every subrecipient and PUBLISHES NO AMOUNT FOR ANY OF THEM. The pool's own round total is in `round_amount`; it is NEVER divided across recipients (§6.2). Source snapshot: 2026-08-31.",Yes,No,2026,Nevada RHT Funded Projects - Budget Period 1: Rural Health System Flex Fund,https://www.nvha.nv.gov/RHTP/rht-funded-projects---bp1/,NOTICE_OF_INTENT_TO_AWARD,PARSED_HTML_TABLE,R/03u_nv_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,MEDIUM,AMOUNT_MISSING,FLEX_FUND,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"RECIPIENT TYPE VERIFIED (session 49): LOCAL_GOVT_OR_PUBLIC_HEALTH. Basis (ORG_WEBSITE, Claude, run by IN): Esmeralda County clinics; the county had no health clinic as of 2020, so these appear to be new county-run clinic sites. Ownership inferred from the name, not confirmed. https://www.nationalguard.mil/News/Article/2330742/nevada-guard-brings-covid-19-testing-to-rural-county/ flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",NVHA publishes NO per-recipient amount; the pool round total is in round_amount,"Esmeralda and Mineral - Goldfield, Silver Peak, and Fish Lake Valley",Set up and staff 3 rural clinics,FLEX,Rural Health System Flex Fund,39,36000000,Rural Health System Flex Fund,Rural Health System Flex Fund,data/evidence/NV/2026-09-24_nv_rht_funded_projects_bp1.html,"Esmeralda and Mineral - Goldfield, Silver Peak, and Fish Lake Valley",8,Rural Health System Flex Fund,2026-08-31,ORG_WEBSITE,"Claude, run by IN","Esmeralda County clinics; the county had no health clinic as of 2020, so these appear to be new county-run clinic sites. Ownership inferred from the name, not confirmed. https://www.nationalguard.mil/News/Article/2330742/nevada-guard-brings-covid-19-testing-to-rural-county/"
NV,9,Fallon Paiute-Shoshone Tribe,,TRIBAL_ORG,No,"Retinal Imaging Equipment Service area: Churchill. Published by the Nevada Health Authority on its RHT Funded Projects - Budget Period 1 page, which names every subrecipient and PUBLISHES NO AMOUNT FOR ANY OF THEM. The pool's own round total is in `round_amount`; it is NEVER divided across recipients (§6.2). Source snapshot: 2026-08-31.",Yes,No,2026,Nevada RHT Funded Projects - Budget Period 1: Rural Health System Flex Fund,https://www.nvha.nv.gov/RHTP/rht-funded-projects---bp1/,NOTICE_OF_INTENT_TO_AWARD,PARSED_HTML_TABLE,R/03u_nv_year1_awardees.R,,,,,Recipient name rule: name states a tribal entity.,HIGH,AMOUNT_MISSING,FLEX_FUND,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient name rule: name states a tribal entity. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",NVHA publishes NO per-recipient amount; the pool round total is in round_amount,Churchill,Retinal Imaging Equipment,FLEX,Rural Health System Flex Fund,39,36000000,Rural Health System Flex Fund,Rural Health System Flex Fund,data/evidence/NV/2026-09-24_nv_rht_funded_projects_bp1.html,Churchill,9,Rural Health System Flex Fund,2026-08-31,,,
NV,10,Healthy Communities Coalition of Lyon and Storey Counties,,NONPROFIT_CBO,No,"Mobile Dental unit Service area: Lyon. Published by the Nevada Health Authority on its RHT Funded Projects - Budget Period 1 page, which names every subrecipient and PUBLISHES NO AMOUNT FOR ANY OF THEM. The pool's own round total is in `round_amount`; it is NEVER divided across recipients (§6.2). Source snapshot: 2026-08-31.",Yes,No,2026,Nevada RHT Funded Projects - Budget Period 1: Rural Health System Flex Fund,https://www.nvha.nv.gov/RHTP/rht-funded-projects---bp1/,NOTICE_OF_INTENT_TO_AWARD,PARSED_HTML_TABLE,R/03u_nv_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_MISSING,FLEX_FUND,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"RECIPIENT TYPE VERIFIED (session 49): NONPROFIT_CBO. Basis (GENERAL_KNOWLEDGE, Claude, run by IN): Community coalition serving Lyon and Storey counties. https://www.nvha.nv.gov/RHTP/rht-funded-projects---bp1/ flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",NVHA publishes NO per-recipient amount; the pool round total is in round_amount,Lyon,Mobile Dental unit,FLEX,Rural Health System Flex Fund,39,36000000,Rural Health System Flex Fund,Rural Health System Flex Fund,data/evidence/NV/2026-09-24_nv_rht_funded_projects_bp1.html,Lyon,10,Rural Health System Flex Fund,2026-08-31,GENERAL_KNOWLEDGE,"Claude, run by IN",Community coalition serving Lyon and Storey counties. https://www.nvha.nv.gov/RHTP/rht-funded-projects---bp1/
