state,group,rcj_rows,rcj_amount_sum,disposition,evidence
GA,"In the award file, name and amount exact -- GA - 2026 - Georgia Reaches $103 Million in Total Awards to Date to Expand Rural Healthcare through GREAT Health Transformation",80,60000000,RHTP_SUBAWARD_IN_FILE,"80 row(s), $60,000,000. Each matches a row of ga_great_health_awards.csv on the normalised name and the amount to the dollar -- a real award this repository extracted from the state's own document, not from RCJ. 0 first seen after 08-27. Evidence: data/evidence/GA/ (four DCH announcements, the AHEAD roster, two signed notices of award)."
GA,"In the award file, name and amount exact -- GA - 2026 - Notice of Intent to Award - Initiative 5: Leveraging Technology in Support of Healthcare Innovations in Rural Georgia",13,26000000,RHTP_SUBAWARD_IN_FILE,"13 row(s), $26,000,000. Each matches a row of ga_great_health_awards.csv on the normalised name and the amount to the dollar -- a real award this repository extracted from the state's own document, not from RCJ. 0 first seen after 08-27. Evidence: data/evidence/GA/ (four DCH announcements, the AHEAD roster, two signed notices of award)."
GA,"In the award file, name and amount exact -- GA - 2026 - Notice of Intent to Award Initiative 3: Connecting to Care to Improve Healthcare Access - Point-of-Care Telepods",7,3921115,RHTP_SUBAWARD_IN_FILE,"7 row(s), $3,921,115. Each matches a row of ga_great_health_awards.csv on the normalised name and the amount to the dollar -- a real award this repository extracted from the state's own document, not from RCJ. 0 first seen after 08-27. Evidence: data/evidence/GA/ (four DCH announcements, the AHEAD roster, two signed notices of award)."
GA,"In the award file, which prints no amount for it -- GA - 2026 - Georgia Awards First GREAT Health Program Subgrantees June 8, 2026 Georgia Department of Community Health",3,0,RHTP_SUBAWARD_IN_FILE_NO_STATE_AMOUNT,"3 row(s), $0. The recipient is in ga_great_health_awards.csv, where the state published the award and NO amount; RCJ's figure (a $0 or $1 placeholder, or its own) is not a state figure. 0 first seen after 08-27. Evidence: data/evidence/GA/ (four DCH announcements, the AHEAD roster, two signed notices of award)."
GA,"In the award file, which prints no amount for it -- GA - 2026 - Year 1 GREAT Health Opportunities for Hospitals Project",1,1,RHTP_SUBAWARD_IN_FILE_NO_STATE_AMOUNT,"1 row(s), $1. The recipient is in ga_great_health_awards.csv, where the state published the award and NO amount; RCJ's figure (a $0 or $1 placeholder, or its own) is not a state figure. 1 first seen after 08-27. Evidence: data/evidence/GA/ (four DCH announcements, the AHEAD roster, two signed notices of award)."
GA,'Rural Hospitals in Georgia' -- the surgical-robotics plan estimate,1,20000000,RHTP_BUT_A_CLASS_NOT_A_RECIPIENT,"1 row(s), $20,000,000. A class, not a recipient, at the application's own multi-year estimate: Georgia's Initiative 5 page gives Surgical Robotics 'Estimated Funding $20,000,000 total / $2,000,000 in Budget Period 1'. The awards are the thirteen $2,000,000 robots on DCH's signed notice, all in ga_great_health_awards.csv. Evidence: data/evidence/recheck/2026-09-23/GA/ga_application_initiative_five.html. 0 first seen after 08-27."
GA,DCH's Dual Track Rural Hospital Support and Remote Critical Care grants,7,2400000,NOT_RHTP_STATE_PROGRAM,"7 row(s), $2,400,000. The wrong PROGRAMME (§6.1 mode 1). Dual Track is the State Office of Rural Health's own grant series, first solicited 2023-11-15, with FY25 notices of award in 2025 and an FY26 round, each RFGA 'subject to the availability of appropriated funds'; the FY26 RFGA and the RCCS26 RFGA contain 'Rural Health Transformation', 'RHTP', 'GREAT Health' and 'Centers for Medicare' ZERO times each, and GREAT Health's own funding-opportunities page lists none of it. Named hospitals, real awards, state money. Evidence: data/evidence/rcj_dispositions/2026-09-24/GA/ (the three RFGAs and DCH's Grant Announcements page); data/evidence/recheck/2026-09-23/GA/ga_find_funding_opportunities_2026-09-23.html. 0 first seen after 08-27."
GA,GREAT Health 'Opportunities for Hospitals' guidance: partners at $1,4,4,RHTP_BUT_NOT_A_SUBAWARD,"4 row(s), $4. RCJ classes its own source GUIDANCE, not an award announcement; it describes programmes 'directly funded through RHTP with no cost to hospitals', and its 'awardees' here (Augusta University Cyber Innovation & Training Center, GTRI, Sellers Dorsey, UGA Institute of Disaster Management) are partners and vendors named in it, each at a $1 placeholder (§6.1 mode 3), on no DCH notice archived here. The same document's fifth name, Alzheimer's Association, is a real Phase 1/2 recipient and sits in the engine's no-state-amount group. No state copy of the guidance is archived. 4 first seen after 08-27."
GA,"Miller County Hospital's second telepod award, annotated by RCJ",1,356465,RHTP_SUBAWARD_IN_FILE_UNDER_AN_ANNOTATED_NAME,"1 row(s), $356,465. Real: Miller County Hospital holds two telepod awards on DCH's signed notice (applications GREAT-001222 and GREAT-001350, $356,465 each), both in ga_great_health_awards.csv. RCJ appends '(second award)' to the name. Evidence: data/evidence/GA/ga_noa_point_of_care_telepods_signed.pdf. 0 first seen after 08-27."
GA,Award-file rows no RCJ candidate matches,0,0,FILE_ROWS_RCJ_DOES_NOT_CARRY_EXACTLY,"58 of 158 row(s) of ga_great_health_awards.csv are matched by no live candidate on name and amount, 2 of them priced ($843,965). Some are carried under another name or figure (the hand-read groups above); the rest RCJ does not carry, or the row is an unnamed pool or a name the file keeps from the source. E.g.: Georgia Department of Public Health; Side by Side; University System of Georgia; Georgia Statewide AHEC Network; Sharecare; Georgia Health Information Network (GaHIN)."
