state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,award_pool,budget_period,flow_type,hospital_benefiting,hospital_attribution,determination_basis,classification_rule,source_archive_path
MD,1,Allegany County Health Department,1674661,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"This project aims to modernize data infrastructure and address health disparities in rural Maryland through the implementation of a meaningful use Electronic Health Record (EHR) system, a specialized EHR module designed for inpatient substance use disorder facilities within the Behavioral Health divisions of Allegany and Kent counties, dental practice management software platform and closed-loop referrals.",Yes,No,FY2026,"Maryland Rural Health Transformation Program Pillar 2: Promote Sustainable Access and Innovative Care Transformation Funds Award Offers, Budget Period 1",https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Transformation-Fund-BP1-Award-Offers.pdf,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,HIGH,,PILLAR2_TRANSFORMATION_FUND,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,"Recipient name rule: county or city health department, a local public health body. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",PATTERN,data/evidence/MD/2026-08-29_mdh_pillar2_transformation_fund_bp1_award_offers.pdf
MD,2,Calvert County Health Department,1504451,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"There are three key components: the first focuses on upstream prevention through community training, while the second key component embeds Care Navigators in primary care clinics to facilitate early identification and integrated behavioral treatment. The third key component optimizes the clinical workforce by delegating routine assessments to graduate interns and using cost-savings metrics to establish financial sustainability for crisis infrastructure.",Yes,No,FY2026,"Maryland Rural Health Transformation Program Pillar 2: Promote Sustainable Access and Innovative Care Transformation Funds Award Offers, Budget Period 1",https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Transformation-Fund-BP1-Award-Offers.pdf,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,HIGH,,PILLAR2_TRANSFORMATION_FUND,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,"Recipient name rule: county or city health department, a local public health body. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",PATTERN,data/evidence/MD/2026-08-29_mdh_pillar2_transformation_fund_bp1_award_offers.pdf
MD,3,Carroll County Health Department,4358127,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"The CHAIN-LINC project aims to transform rural healthcare in Carroll County, Maryland, by addressing systemic barriers to care. Key",Yes,No,FY2026,"Maryland Rural Health Transformation Program Pillar 2: Promote Sustainable Access and Innovative Care Transformation Funds Award Offers, Budget Period 1",https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Transformation-Fund-BP1-Award-Offers.pdf,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,HIGH,,PILLAR2_TRANSFORMATION_FUND,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,"Recipient name rule: county or city health department, a local public health body. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",PATTERN,data/evidence/MD/2026-08-29_mdh_pillar2_transformation_fund_bp1_award_offers.pdf
MD,4,Cecil County Health Department,2000000,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"This initiative is designed to address healthcare access barriers and system fragmentation in rural Cecil County by implementing a coordinated, community-based system of care. Key components include establishment of a community health worker (CHW) network, mobile screenings and chronic disease management, mobile integrated health, development of a maternal care plan, and closed-loop referrals.",Yes,No,FY2026,"Maryland Rural Health Transformation Program Pillar 2: Promote Sustainable Access and Innovative Care Transformation Funds Award Offers, Budget Period 1",https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Transformation-Fund-BP1-Award-Offers.pdf,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,HIGH,,PILLAR2_TRANSFORMATION_FUND,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,"Recipient name rule: county or city health department, a local public health body. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",PATTERN,data/evidence/MD/2026-08-29_mdh_pillar2_transformation_fund_bp1_award_offers.pdf
MD,5,Center for a Healthy Maryland Inc,1935651,NONPROFIT_CBO,No,"The PRISM (AI-Enabled Rural Brain Health Navigation) project is a community-based initiative designed to improve dementia-related care in rural Maryland for adults aged 50 and older. Key components include AI-enabled risk stratification, health monitoring, navigator follow-up, and nutrition and adherence support.",Yes,No,FY2026,"Maryland Rural Health Transformation Program Pillar 2: Promote Sustainable Access and Innovative Care Transformation Funds Award Offers, Budget Period 1",https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Transformation-Fund-BP1-Award-Offers.pdf,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,LOW,RECIPIENT_TYPE_INFERRED,PILLAR2_TRANSFORMATION_FUND,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/MD/2026-08-29_mdh_pillar2_transformation_fund_bp1_award_offers.pdf
MD,6,Charles County Department of Health,511347,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"The project aims to establish an integrated rural oral healthcare model to address provider shortages, transportation barriers, and high costs through expansion of preventive, restorative, and specialty care; in-house 3D digital printing for dentures and prosthetics; and care coordination.",Yes,No,FY2026,"Maryland Rural Health Transformation Program Pillar 2: Promote Sustainable Access and Innovative Care Transformation Funds Award Offers, Budget Period 1",https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Transformation-Fund-BP1-Award-Offers.pdf,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,HIGH,,PILLAR2_TRANSFORMATION_FUND,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,"Recipient name rule: county or city health department, a local public health body. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",PATTERN,data/evidence/MD/2026-08-29_mdh_pillar2_transformation_fund_bp1_award_offers.pdf
MD,7,Chester River Health System Inc (UM Shore Regional),4913250,HOSPITAL_OR_SYSTEM,Yes,"RISE-PC aims to shift primary care delivery in eight rural counties from a fragmented, episodic model to an integrated, team-based, and value-based system. Key components include recruitment of primary care clinicians and a multidisciplinary workforce, integrated behavioral health, care navigation and social care coordination, practice transformation coaches, regional learning collaboratives, telehealth, and closed-loop referrals.",Yes,No,FY2026,"Maryland Rural Health Transformation Program Pillar 2: Promote Sustainable Access and Innovative Care Transformation Funds Award Offers, Budget Period 1",https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Transformation-Fund-BP1-Award-Offers.pdf,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,MEDIUM,,PILLAR2_TRANSFORMATION_FUND,BP1,DIRECT,Yes,NAMED_HOSPITAL,Recipient name rule: name states a health system. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,PATTERN,data/evidence/MD/2026-08-29_mdh_pillar2_transformation_fund_bp1_award_offers.pdf
MD,8,Choptank Community Health System Inc,1976042,HOSPITAL_OR_SYSTEM,Yes,"The project seeks to transition from a reactive, fee-for-service model to a proactive, value-based care system to improve health outcomes and reduce total cost of care. Key components include expansion of CHW",Yes,No,FY2026,"Maryland Rural Health Transformation Program Pillar 2: Promote Sustainable Access and Innovative Care Transformation Funds Award Offers, Budget Period 1",https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Transformation-Fund-BP1-Award-Offers.pdf,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,MEDIUM,,PILLAR2_TRANSFORMATION_FUND,BP1,DIRECT,Yes,NAMED_HOSPITAL,Recipient name rule: name states a health system. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,PATTERN,data/evidence/MD/2026-08-29_mdh_pillar2_transformation_fund_bp1_award_offers.pdf
MD,9,Community Education Group,5745751,NONPROFIT_CBO,No,"The initiative is designed to transform rural health delivery by establishing Regional Care Coordination Center (RCCC) hubs. These centers provide centralized access to clinical care, maternal-focused services, and social service referrals, addressing significant regional barriers such as provider shortages, poverty, and transportation challenges.",Yes,No,FY2026,"Maryland Rural Health Transformation Program Pillar 2: Promote Sustainable Access and Innovative Care Transformation Funds Award Offers, Budget Period 1",https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Transformation-Fund-BP1-Award-Offers.pdf,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,LOW,RECIPIENT_TYPE_INFERRED,PILLAR2_TRANSFORMATION_FUND,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/MD/2026-08-29_mdh_pillar2_transformation_fund_bp1_award_offers.pdf
MD,10,Cornerstone Southern Maryland,1000000,NONPROFIT_CBO,No,"The project addresses a critical distribution failure in behavioral health care. Rather than constructing new facilities, the mobile clinic will bring psychiatric care, therapy, Medication for Opioid Use Disorder (MOUD), peer support, and care coordination directly to underserved rural communities.",Yes,No,FY2026,"Maryland Rural Health Transformation Program Pillar 2: Promote Sustainable Access and Innovative Care Transformation Funds Award Offers, Budget Period 1",https://health.maryland.gov/pophealth/Documents/Rural%20Health/RHTP/Pillar-2-Transformation-Fund-BP1-Award-Offers.pdf,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,LOW,RECIPIENT_TYPE_INFERRED,PILLAR2_TRANSFORMATION_FUND,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/MD/2026-08-29_mdh_pillar2_transformation_fund_bp1_award_offers.pdf
